Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, 
Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K00660, 
EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, Citrus clementina, hypothetical protein, 
KO:K00660, EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, Citrus clementina, 
hypothetical protein, KO:K00660, EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, 
Citrus clementina, hypothetical protein, KO:K00660, EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K00660, 
EC:2.3.1.74, Citrus clementina, hypothetical protein, KO:K01859, EC:5.5.1.6, Citrus clementina, hypothetical protein, 
KO:K01859, EC:5.5.1.6, Citrus clementina, hypothetical protein, KO:K00475, EC:1.14.11.9, Citrus clementina, 
hypothetical protein, KO:K00475, EC:1.14.11.9, Citrus clementina, hypothetical protein, KO:K05278, EC:1.14.20.6, 
Citrus clementina, hypothetical protein, KO:K05278, EC:1.14.20.6, Citrus clementina, hypothetical protein, KO:K05278, 
EC:1.14.20.6, Citrus clementina, hypothetical protein, KO:K00487, EC:1.14.14.91, Citrus clementina, hypothetical protein, 
KO:K00487, EC:1.14.14.91, Citrus clementina, hypothetical protein, KO:K23179, EC:1.14.19.76, Citrus clementina, 
hypothetical protein, KO:K23179, EC:1.14.19.76, Citrus clementina, hypothetical protein, KO:K05280, EC:1.14.14.82, 
Citrus clementina, hypothetical protein, KO:K13082, EC:1.1.1.219 1.1.1.234, Citrus clementina, hypothetical protein, KO:K13083, 
EC:1.14.14.81, Citrus clementina, hypothetical protein, KO:K05277, EC:1.14.20.4, Citrus clementina, hypothetical protein, 
KO:K08695, EC:1.3.1.77, Citrus clementina, hypothetical protein, KO:K13081, EC:1.17.1.3, Citrus clementina, 
hypothetical protein, KO:K13080, EC:2.4.1.236, Citrus clementina, hypothetical protein, KO:K13080, EC:2.4.1.236, 
Citrus clementina, hypothetical protein, KO:K22845, EC:2.4.1.357, Citrus clementina, hypothetical protein, KO:K13065, 
EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, 
KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, 
hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, 
Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, 
EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, 
KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, 
hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, 
Citrus clementina, hypothetical protein, KO:K13065, EC:2.3.1.133, Citrus clementina, hypothetical protein, KO:K09754, 
EC:1.14.14.96, Citrus clementina, hypothetical protein, KO:K09754, EC:1.14.14.96, Citrus clementina, hypothetical protein, 
KO:K09754, EC:1.14.14.96, Citrus clementina, hypothetical protein, KO:K09754, EC:1.14.14.96, Citrus clementina, 
hypothetical protein, KO:K00588, EC:2.1.1.104, Citrus clementina, hypothetical protein, KO:K00588, EC:2.1.1.104, 
Citrus clementina, hypothetical protein, KO:K00588, EC:2.1.1.104, Citrus clementina, hypothetical protein, KO:K00588, 
EC:2.1.1.104, Citrus clementina, hypothetical protein, KO:K00588, EC:2.1.1.104, Citrus clementina, hypothetical protein, 
KO:K00588, EC:2.1.1.104, Citrus clementina, hypothetical protein, KO:K00588, EC:2.1.1.104, Citrus clementina, 
hypothetical protein, KO:K00588, EC:2.1.1.104, Citrus clementina, hypothetical protein, KO:K00588, EC:2.1.1.104, 

