Oryza Brachyantha [Wild Rice], phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Oryza Brachyantha [Wild Rice], phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Oryza Brachyantha [Wild Rice], phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Oryza Brachyantha [Wild Rice], phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Oryza Brachyantha [Wild Rice], phenylalanine ammonia-lyase, KO:K13064, EC:4.3.1.25, Oryza Brachyantha [Wild Rice], cytochrome P450 CYP73A100-like, 
KO:K00487, EC:1.14.14.91, Oryza Brachyantha [Wild Rice], cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Oryza Brachyantha [Wild Rice], 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Oryza Brachyantha [Wild Rice], trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
Oryza Brachyantha [Wild Rice], probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, Oryza Brachyantha [Wild Rice], probable 4-coumarate--CoA ligase 4, KO:K01904, 
EC:6.2.1.12, Oryza Brachyantha [Wild Rice], probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Oryza Brachyantha [Wild Rice], probable 4-coumarate--CoA ligase 5, 
KO:K01904, EC:6.2.1.12, Oryza Brachyantha [Wild Rice], probable 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Oryza Brachyantha [Wild Rice], 
4-coumarate--CoA ligase-like 2, KO:K01904, EC:6.2.1.12, Oryza Brachyantha [Wild Rice], 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, 
Oryza Brachyantha [Wild Rice], 4-coumarate--CoA ligase-like 3, KO:K01904, EC:6.2.1.12, Oryza Brachyantha [Wild Rice], 4-coumarate--CoA ligase-like 7, KO:K01904, 
EC:6.2.1.12, Oryza Brachyantha [Wild Rice], shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Oryza Brachyantha [Wild Rice], shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Oryza Brachyantha [Wild Rice], shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Oryza Brachyantha [Wild Rice], 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Oryza Brachyantha [Wild Rice], shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Oryza Brachyantha [Wild Rice], shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Oryza Brachyantha [Wild Rice], cytochrome P450 98A1, KO:K09754, 
EC:1.14.14.96, Oryza Brachyantha [Wild Rice], caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Oryza Brachyantha [Wild Rice], caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Oryza Brachyantha [Wild Rice], caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Oryza Brachyantha [Wild Rice], 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Oryza Brachyantha [Wild Rice], caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Oryza Brachyantha [Wild Rice], caffeoyl-CoA O-methyltransferase 1, KO:K00588, EC:2.1.1.104, Oryza Brachyantha [Wild Rice], caffeoyl-CoA O-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 2-like, 
KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 2-like, KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], 
cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 2-like, KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 1-like, KO:K09753, 
EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 1-like, 
KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Oryza Brachyantha [Wild Rice], 
aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Oryza Brachyantha [Wild Rice], aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Oryza Brachyantha [Wild Rice], aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Oryza Brachyantha [Wild Rice], cytochrome P450 84A1, KO:K09755, 
EC:1.14.-.-, Oryza Brachyantha [Wild Rice], probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Oryza Brachyantha [Wild Rice], cinnamyl alcohol dehydrogenase 2, 
KO:K00083, EC:1.1.1.195, Oryza Brachyantha [Wild Rice], probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Oryza Brachyantha [Wild Rice], 
putative cinnamyl alcohol dehydrogenase 5, KO:K00083, EC:1.1.1.195, Oryza Brachyantha [Wild Rice], 1-Cys peroxiredoxin A, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, 
Oryza Brachyantha [Wild Rice], 1-Cys peroxiredoxin B, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Oryza Brachyantha [Wild Rice], peroxidase 25-like, KO:K00430, 
EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 9-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], 
peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Oryza Brachyantha [Wild Rice], peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], cationic peroxidase SPC4-like, KO:K00430, 
EC:1.11.1.7, Oryza Brachyantha [Wild Rice], cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], cationic peroxidase 1, 
KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase P7-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, 
Oryza Brachyantha [Wild Rice], peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 24-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], 
peroxidase 19, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Oryza Brachyantha [Wild Rice], peroxidase A2-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], cationic peroxidase SPC4-like, 
KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 64, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], 
peroxidase 44-like, KO:K00430, EC:1.11.1.7, Oryza Brachyantha [Wild Rice], peroxidase 41-like, KO:K00430, EC:1.11.1.7, 
