Fragaria vesca, polyketide synthase 1, KO:K00660, EC:2.3.1.74, Fragaria vesca, polyketide synthase 1, KO:K00660, EC:2.3.1.74, 
Fragaria vesca, chalcone--flavonone isomerase 1, KO:K01859, EC:5.5.1.6, Fragaria vesca, probable chalcone--flavonone isomerase 3, KO:K01859, 
EC:5.5.1.6, Fragaria vesca, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Fragaria vesca, flavonol synthase/flavanone 3-hydroxylase-like, 
KO:K05278, EC:1.14.20.6, Fragaria vesca, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Fragaria vesca, 
trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Fragaria vesca, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, 
Fragaria vesca, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Fragaria vesca, anthocyanidin reductase, KO:K08695, 
EC:1.3.1.77, Fragaria vesca, leucoanthocyanidin reductase-like, KO:K13081, EC:1.17.1.3, Fragaria vesca, anthocyanidin 5,3-O-glucosyltransferase-like, 
KO:K22845, EC:2.4.1.357, Fragaria vesca, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Fragaria vesca, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Fragaria vesca, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Fragaria vesca, deacetylvindoline O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, 
omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Fragaria vesca, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, 
Fragaria vesca, BAHD acyltransferase At5g47980-like, KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Fragaria vesca, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Fragaria vesca, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Fragaria vesca, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Fragaria vesca, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, 
Fragaria vesca, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Fragaria vesca, flavonoid 3',5'-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, flavonoid 3',5'-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Fragaria vesca, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Fragaria vesca, deacetylvindoline O-acetyltransferase, 
