Capsella rubella (Pink shepherd's-purse), 17883168, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Capsella rubella (Pink shepherd's-purse), 17885140, chalcone--flavonone isomerase 1, 
KO:K01859, EC:5.5.1.6, Capsella rubella (Pink shepherd's-purse), 17885266, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, 
Capsella rubella (Pink shepherd's-purse), 17884061, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17876394, 
probable flavonol synthase 6, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17875365, flavonol synthase 3, KO:K05278, 
EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17875649, probable flavonol synthase 6, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 
17874951, probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17875062, probable flavonol synthase 5, 
KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17874978, probable flavonol synthase 5, KO:K05278, EC:1.14.20.6, 
Capsella rubella (Pink shepherd's-purse), 17876899, putative inactive flavonol synthase 2, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17876240, 
flavonol synthase 3, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17887601, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, 
EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 17876064, probable flavonol synthase 6, KO:K05278, EC:1.14.20.6, Capsella rubella (Pink shepherd's-purse), 
17888026, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Capsella rubella (Pink shepherd's-purse), 17881114, flavonoid 3'-monooxygenase, 
KO:K05280, EC:1.14.14.82, Capsella rubella (Pink shepherd's-purse), 17877190, dihydroflavonol 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, 
Capsella rubella (Pink shepherd's-purse), 17880425, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Capsella rubella (Pink shepherd's-purse), 17894009, 
anthocyanidin reductase, KO:K08695, EC:1.3.1.77, Capsella rubella (Pink shepherd's-purse), 17899594, shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Capsella rubella (Pink shepherd's-purse), 17891849, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Capsella rubella (Pink shepherd's-purse), 
17896925, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Capsella rubella (Pink shepherd's-purse), 17897083, shikimate O-hydroxycinnamoyltransferase, 
KO:K13065, EC:2.3.1.133, Capsella rubella (Pink shepherd's-purse), 17874809, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Capsella rubella (Pink shepherd's-purse), 17887658, cytochrome P450 98A3, KO:K09754, EC:1.14.14.96, Capsella rubella (Pink shepherd's-purse), 17877842, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Capsella rubella (Pink shepherd's-purse), 17900298, putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, 
EC:2.1.1.104, Capsella rubella (Pink shepherd's-purse), 17897946, putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, Capsella rubella (Pink shepherd's-purse), 
17877590, caffeoyl-CoA O-methyltransferase 1, KO:K00588, EC:2.1.1.104, Capsella rubella (Pink shepherd's-purse), 17894285, LOW QUALITY PROTEIN: tapetum-specific methyltransferase 1, 
KO:K00588, EC:2.1.1.104, 
