Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K13064, EC:4.3.1.25, Sorghum Bicolor (Sorghum), 
phenylalanine ammonia-lyase, KO:K13064, EC:4.3.1.25, Sorghum Bicolor (Sorghum), trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, 
Sorghum Bicolor (Sorghum), cytochrome P450 CYP73A100, KO:K00487, EC:1.14.14.91, Sorghum Bicolor (Sorghum), trans-cinnamate 4-monooxygenase, KO:K00487, 
EC:1.14.14.91, Sorghum Bicolor (Sorghum), probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), 4-coumarate--CoA ligase-like 9, 
KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), probable 4-coumarate--CoA ligase 4, KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), 
probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), probable 4-coumarate--CoA ligase 5, KO:K01904, EC:6.2.1.12, 
Sorghum Bicolor (Sorghum), probable 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), 4-coumarate--CoA ligase-like 3 isoform X1, KO:K01904, 
EC:6.2.1.12, Sorghum Bicolor (Sorghum), 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), 4-coumarate--CoA ligase-like 1, 
KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), 4-coumarate--CoA ligase-like 5, KO:K01904, EC:6.2.1.12, Sorghum Bicolor (Sorghum), 
