Nicotiana attenuata, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana attenuata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Nicotiana attenuata, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana attenuata, phenylalanine ammonia-lyase isoform X1, KO:K10775, 
EC:4.3.1.24, Nicotiana attenuata, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Nicotiana attenuata, cytochrome P450 CYP73A100-like, 
KO:K00487, EC:1.14.14.91, Nicotiana attenuata, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Nicotiana attenuata, 
4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Nicotiana attenuata, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, 
Nicotiana attenuata, 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Nicotiana attenuata, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Nicotiana attenuata, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Nicotiana attenuata, 4-coumarate--CoA ligase 2-like, 
KO:K01904, EC:6.2.1.12, Nicotiana attenuata, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Nicotiana attenuata, 
4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Nicotiana attenuata, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Nicotiana attenuata, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, spermidine hydroxycinnamoyl transferase, KO:K13065, 
EC:2.3.1.133, Nicotiana attenuata, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, acetyl-CoA-benzylalcohol acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana attenuata, agmatine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 
acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana attenuata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, salutaridinol 7-O-acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Nicotiana attenuata, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, shikimate O-hydroxycinnamoyltransferase, 
KO:K13065, EC:2.3.1.133, Nicotiana attenuata, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, 
Nicotiana attenuata, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, 
