Phalaenopsis equestris, 110024167, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Phalaenopsis equestris, 110031047, phenylalanine ammonia-lyase-like, 
KO:K10775, EC:4.3.1.24, Phalaenopsis equestris, 110019442, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
Phalaenopsis equestris, 110024427, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Phalaenopsis equestris, 110022678, 
probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Phalaenopsis equestris, 110030661, 4-coumarate--CoA ligase-like 7, KO:K01904, 
EC:6.2.1.12, Phalaenopsis equestris, 110018262, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Phalaenopsis equestris, 
110020293, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Phalaenopsis equestris, 110038424, 4-coumarate--CoA ligase 1-like, 
KO:K01904, EC:6.2.1.12, Phalaenopsis equestris, 110026381, probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Phalaenopsis equestris, 110035411, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Phalaenopsis equestris, 110035223, 
4-coumarate--CoA ligase-like 5, KO:K01904, EC:6.2.1.12, Phalaenopsis equestris, 110032076, tryptamine hydroxycinnamoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Phalaenopsis equestris, 110022365, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Phalaenopsis equestris, 
110030319, LOW QUALITY PROTEIN: hydroxycinnamoyltransferase 2-like, KO:K13065, EC:2.3.1.133, Phalaenopsis equestris, 110023591, LOW QUALITY PROTEIN: putrescine hydroxycinnamoyltransferase 1-like, 
KO:K13065, EC:2.3.1.133, Phalaenopsis equestris, 110024997, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, 
Phalaenopsis equestris, 110032657, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Phalaenopsis equestris, 110032551, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Phalaenopsis equestris, 110034490, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Phalaenopsis equestris, 110036492, caffeoylshikimate esterase-like isoform X1, KO:K18368, EC:3.1.1.-, Phalaenopsis equestris, 
110035553, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Phalaenopsis equestris, 110033602, caffeoylshikimate esterase isoform X1, 
KO:K18368, EC:3.1.1.-, Phalaenopsis equestris, 110028638, putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, 
Phalaenopsis equestris, 110031934, putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, Phalaenopsis equestris, 110031935, 
putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, Phalaenopsis equestris, 110023518, caffeoyl-CoA O-methyltransferase 1, KO:K00588, 
EC:2.1.1.104, Phalaenopsis equestris, 110039326, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Phalaenopsis equestris, 
110024447, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Phalaenopsis equestris, 110031817, aldehyde dehydrogenase family 2 member C4-like isoform X1, 
KO:K12355, EC:1.2.1.68, Phalaenopsis equestris, 110031819, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Phalaenopsis equestris, 110037950, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Phalaenopsis equestris, 110019312, 
aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Phalaenopsis equestris, 110019344, aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, 
EC:1.2.1.68, Phalaenopsis equestris, 110020850, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Phalaenopsis equestris, 
110026827, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Phalaenopsis equestris, 110023954, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Phalaenopsis equestris, 110023969, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Phalaenopsis equestris, 110031091, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Phalaenopsis equestris, 110039323, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Phalaenopsis equestris, 110034484, caffeic acid 3-O-methyltransferase 1-like, KO:K13066, 
EC:2.1.1.68, Phalaenopsis equestris, 110023003, probable cinnamyl alcohol dehydrogenase 1 isoform X1, KO:K00083, EC:1.1.1.195, Phalaenopsis equestris, 
110032667, cinnamyl alcohol dehydrogenase 2, KO:K00083, EC:1.1.1.195, Phalaenopsis equestris, 110035596, putative cinnamyl alcohol dehydrogenase 4, 
KO:K00083, EC:1.1.1.195, Phalaenopsis equestris, 110038322, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, 
Phalaenopsis equestris, 110028677, berberine bridge enzyme-like 26, KO:K22395, EC:1.1.1.195, Phalaenopsis equestris, 110028678, 
berberine bridge enzyme-like 22, KO:K22395, EC:1.1.1.195, Phalaenopsis equestris, 110028679, berberine bridge enzyme-like 15, KO:K22395, 
EC:1.1.1.195, Phalaenopsis equestris, 110028720, berberine bridge enzyme-like 22, KO:K22395, EC:1.1.1.195, Phalaenopsis equestris, 
110028781, berberine bridge enzyme-like 26, KO:K22395, EC:1.1.1.195, Phalaenopsis equestris, 110028782, LOW QUALITY PROTEIN: berberine bridge enzyme-like 26, 
KO:K22395, EC:1.1.1.195, Phalaenopsis equestris, 110033960, berberine bridge enzyme-like 22, KO:K22395, EC:1.1.1.195, 
Phalaenopsis equestris, 110024722, peroxidase 11-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110029660, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110029673, LOW QUALITY PROTEIN: peroxidase 52-like, KO:K00430, 
