Sesamum indicum, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Sesamum indicum, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Sesamum indicum, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Sesamum indicum, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Sesamum indicum, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Sesamum indicum, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Sesamum indicum, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Sesamum indicum, 
trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Sesamum indicum, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, 
Sesamum indicum, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Sesamum indicum, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 1, KO:K01904, 
EC:6.2.1.12, Sesamum indicum, 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Sesamum indicum, 4-coumarate--CoA ligase 2, 
KO:K01904, EC:6.2.1.12, Sesamum indicum, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Sesamum indicum, 
4-coumarate--CoA ligase-like 1 isoform X1, KO:K01904, EC:6.2.1.12, Sesamum indicum, 4-coumarate--CoA ligase-like 7 isoform X1, KO:K01904, EC:6.2.1.12, 
Sesamum indicum, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Sesamum indicum, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Sesamum indicum, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Sesamum indicum, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 9, 
KO:K01904, EC:6.2.1.12, Sesamum indicum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, 
spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Sesamum indicum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Sesamum indicum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Sesamum indicum, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, vinorine synthase-like isoform X3, 
KO:K13065, EC:2.3.1.133, Sesamum indicum, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, 
spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Sesamum indicum, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Sesamum indicum, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Sesamum indicum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Sesamum indicum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, agmatine coumaroyltransferase-2, 
KO:K13065, EC:2.3.1.133, Sesamum indicum, agmatine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Sesamum indicum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Sesamum indicum, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Sesamum indicum, cytochrome P450 98A3, 
KO:K09754, EC:1.14.14.96, Sesamum indicum, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Sesamum indicum, 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Sesamum indicum, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Sesamum indicum, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Sesamum indicum, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Sesamum indicum, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Sesamum indicum, caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Sesamum indicum, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Sesamum indicum, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Sesamum indicum, flavonoid 3',5'-methyltransferase, KO:K00588, EC:2.1.1.104, 
Sesamum indicum, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Sesamum indicum, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Sesamum indicum, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Sesamum indicum, flavonoid 3',5'-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Sesamum indicum, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Sesamum indicum, 
flavonoid 3',5'-methyltransferase-like isoform X1, KO:K00588, EC:2.1.1.104, Sesamum indicum, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Sesamum indicum, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Sesamum indicum, aldehyde dehydrogenase family 2 member C4, KO:K12355, 
EC:1.2.1.68, Sesamum indicum, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Sesamum indicum, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase 2, KO:K13066, EC:2.1.1.68, 
Sesamum indicum, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, 
EC:2.1.1.68, Sesamum indicum, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase, 
KO:K13066, EC:2.1.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase 2-like, KO:K13066, EC:2.1.1.68, Sesamum indicum, 
caffeic acid 3-O-methyltransferase 1-like, KO:K13066, EC:2.1.1.68, Sesamum indicum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Sesamum indicum, cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Sesamum indicum, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Sesamum indicum, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Sesamum indicum, probable mannitol dehydrogenase, 
KO:K00083, EC:1.1.1.195, Sesamum indicum, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Sesamum indicum, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Sesamum indicum, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, 
Sesamum indicum, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Sesamum indicum, peroxidase 73 precursor, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 40, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 16, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 44, KO:K00430, EC:1.11.1.7, Sesamum indicum, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Sesamum indicum, lignin-forming anionic peroxidase, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Sesamum indicum, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase P7, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, probable peroxidase 61, KO:K00430, EC:1.11.1.7, Sesamum indicum, putative Peroxidase 48 isoform X2, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 64, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 64, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 64, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 9, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 11, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 46, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase P7-like isoform X2, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase N, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 72, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 64, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 4, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 4, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 15-like, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 47, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 6, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 31, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 42, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 10, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 60, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
cationic peroxidase 2-like isoform X1, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 42-like, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 12, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 17, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 31, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 29, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 21, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 7-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 24, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 10, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 51, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 66 isoform X1, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 66, KO:K00430, EC:1.11.1.7, Sesamum indicum, probable peroxidase 26, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 29, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 3, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, LOW QUALITY PROTEIN: peroxidase 25-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, peroxidase 7, KO:K00430, EC:1.11.1.7, Sesamum indicum, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Sesamum indicum, peroxidase 19 isoform X1, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, 
peroxidase 4-like, KO:K00430, EC:1.11.1.7, Sesamum indicum, peroxidase 39-like, KO:K00430, EC:1.11.1.7, 
Sesamum indicum, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Sesamum indicum, uncharacterized protein LOC105161676, KO:K05349, 
EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105164008 isoform X1, KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105163879 isoform X1, 
KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105168898 isoform X2, KO:K05349, EC:3.2.1.21, Sesamum indicum, 
lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105170099, KO:K05349, EC:3.2.1.21, 
Sesamum indicum, uncharacterized protein LOC105170244, KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105179433, KO:K05349, 
EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105178753, KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105173942, 
KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105173943 isoform X2, KO:K05349, EC:3.2.1.21, Sesamum indicum, 
lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC105170959, KO:K05349, EC:3.2.1.21, 
Sesamum indicum, uncharacterized protein LOC105170243, KO:K05349, EC:3.2.1.21, Sesamum indicum, uncharacterized protein LOC110012609 isoform X1, KO:K05349, 
EC:3.2.1.21, Sesamum indicum, beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Sesamum indicum, beta-glucosidase 44-like, 
KO:K05350, EC:3.2.1.21, Sesamum indicum, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Sesamum indicum, 
beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Sesamum indicum, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, 
Sesamum indicum, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Sesamum indicum, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Sesamum indicum, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
