Ricinus communis, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Ricinus communis, phenylalanine ammonia-lyase G4, KO:K10775, EC:4.3.1.24, 
Ricinus communis, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Ricinus communis, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Ricinus communis, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Ricinus communis, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Ricinus communis, cytochrome P450 CYP73A100, KO:K00487, EC:1.14.14.91, Ricinus communis, 
4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Ricinus communis, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, 
Ricinus communis, 4-coumarate--CoA ligase-like 1 isoform X1, KO:K01904, EC:6.2.1.12, Ricinus communis, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Ricinus communis, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Ricinus communis, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7, 
KO:K01904, EC:6.2.1.12, Ricinus communis, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Ricinus communis, 
4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Ricinus communis, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Ricinus communis, vinorine synthase, KO:K13065, EC:2.3.1.133, Ricinus communis, salutaridinol 7-O-acetyltransferase, KO:K13065, 
EC:2.3.1.133, Ricinus communis, vinorine synthase, KO:K13065, EC:2.3.1.133, Ricinus communis, fatty alcohol:caffeoyl-CoA acyltransferase, 
KO:K13065, EC:2.3.1.133, Ricinus communis, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Ricinus communis, 
shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Ricinus communis, putrescine hydroxycinnamoyltransferase 3, KO:K13065, EC:2.3.1.133, 
Ricinus communis, agmatine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Ricinus communis, vinorine synthase, KO:K13065, 
EC:2.3.1.133, Ricinus communis, vinorine synthase, KO:K13065, EC:2.3.1.133, Ricinus communis, agmatine coumaroyltransferase-2, 
KO:K13065, EC:2.3.1.133, Ricinus communis, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Ricinus communis, 
LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Ricinus communis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ricinus communis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ricinus communis, cytochrome P450 98A2, KO:K09754, 
EC:1.14.14.96, Ricinus communis, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Ricinus communis, cytochrome P450 98A3, 
KO:K09754, EC:1.14.14.96, Ricinus communis, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Ricinus communis, 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Ricinus communis, caffeoylshikimate esterase isoform X2, KO:K18368, EC:3.1.1.-, 
Ricinus communis, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Ricinus communis, caffeoyl-CoA O-methyltransferase, KO:K00588, 
