110789886,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
110779706,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110778064,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110778543,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110778564,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110778581,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110786383,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110804497,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110800421,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110784981,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110784983,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110803278,anthocyanidin 3-O-glucosyltransferase-like,KO:K22772,EC:2.4.1.159,
110803262,anthocyanidin 3-O-glucosyltransferase-like,KO:K22772,EC:2.4.1.159,
110803271,anthocyanidin 3-O-glucosyltransferase-like,KO:K22772,EC:2.4.1.159,

