Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), PAL1, 
phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
Capsicum Annuum (Sweet And Chilli Peppers), C4H, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Capsicum Annuum (Sweet And Chilli Peppers), 4CL, 
4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, 
Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase-like 1, KO:K01904, 
EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase 2-like, 
KO:K01904, EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 
4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Capsicum Annuum (Sweet And Chilli Peppers), 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Capsicum Annuum (Sweet And Chilli Peppers), acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), spermidine hydroxycinnamoyl transferase, KO:K13065, 
EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), acylsugar acyltransferase 3-like, KO:K13065, 
EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), acetyl-CoA-benzylalcohol acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), 
