Ipomoea nil, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Ipomoea nil, 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Ipomoea nil, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
Ipomoea nil, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Ipomoea nil, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Ipomoea nil, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Ipomoea nil, 4-coumarate--CoA ligase 2, 
KO:K01904, EC:6.2.1.12, Ipomoea nil, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Ipomoea nil, 
4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Ipomoea nil, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, 
Ipomoea nil, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Ipomoea nil, 4-coumarate--CoA ligase-like 6, KO:K01904, 
EC:6.2.1.12, Ipomoea nil, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Ipomoea nil, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
