Lj1g3v0898850.1,Lj1g3v0898850.1,-,KO:K00660,EC:2.3.1.74,
Lj6g3v0933570.1,Lj6g3v0933570.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v2626180.1,Lj1g3v2626180.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v2626190.1,Lj1g3v2626190.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v2626200.1,Lj1g3v2626200.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v2626210.1,Lj1g3v2626210.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v3918040.1,Lj1g3v3918040.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v3918050.1,Lj1g3v3918050.1,-,KO:K00660,EC:2.3.1.74,
Lj0g3v0107259.1,Lj0g3v0107259.1,-,KO:K00660,EC:2.3.1.74,
Lj4g3v2574990.1,Lj4g3v2574990.1,-,KO:K00660,EC:2.3.1.74,
Lj2g3v2124320.1,Lj2g3v2124320.1,-,KO:K00660,EC:2.3.1.74,
Lj2g3v2124320.2,Lj2g3v2124320.2,-,KO:K00660,EC:2.3.1.74,
Lj2g3v2124310.1,Lj2g3v2124310.1,-,KO:K00660,EC:2.3.1.74,
Lj0g3v0129339.1,Lj0g3v0129339.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v0116650.1,Lj1g3v0116650.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v0116650.2,Lj1g3v0116650.2,-,KO:K00660,EC:2.3.1.74,
Lj1g3v0898770.1,Lj1g3v0898770.1,-,KO:K00660,EC:2.3.1.74,
Lj1g3v1168690.1,Lj1g3v1168690.1,-,KO:K01859,EC:5.5.1.6,
Lj5g3v2288860.1,Lj5g3v2288860.1,-,KO:K01859,EC:5.5.1.6,
Lj5g3v2288870.1,Lj5g3v2288870.1,-,KO:K01859,EC:5.5.1.6,
Lj5g3v2288880.1,Lj5g3v2288880.1,-,KO:K01859,EC:5.5.1.6,
