Cicer arietinum, PAL2, phenylalanine ammonia-lyase 2-like, KO:K10775, EC:4.3.1.24, Cicer arietinum, phenylalanine ammonia-lyase 1, KO:K10775, 
EC:4.3.1.24, Cicer arietinum, phenylalanine ammonia-lyase 1-like, KO:K10775, EC:4.3.1.24, Cicer arietinum, phenylalanine ammonia-lyase class 3, 
KO:K10775, EC:4.3.1.24, Cicer arietinum, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Cicer arietinum, 
trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Cicer arietinum, CYP73, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Cicer arietinum, 4-coumarate--CoA ligase 1-like, KO:K01904, EC:6.2.1.12, Cicer arietinum, 4-coumarate--CoA ligase 1, 
KO:K01904, EC:6.2.1.12, Cicer arietinum, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Cicer arietinum, 
4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Cicer arietinum, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Cicer arietinum, 4-coumarate--CoA ligase 1-like, KO:K01904, EC:6.2.1.12, Cicer arietinum, 4-coumarate--CoA ligase-like 6, KO:K01904, 
EC:6.2.1.12, Cicer arietinum, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Cicer arietinum, 4-coumarate--CoA ligase-like 9, 
KO:K01904, EC:6.2.1.12, Cicer arietinum, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum, vinorine synthase, KO:K13065, EC:2.3.1.133, 
Cicer arietinum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Cicer arietinum, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Cicer arietinum, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Cicer arietinum, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Cicer arietinum, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, 
Cicer arietinum, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Cicer arietinum, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Cicer arietinum, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Cicer arietinum, caffeoylshikimate esterase-like, 
KO:K18368, EC:3.1.1.-, Cicer arietinum, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Cicer arietinum, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Cicer arietinum, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Cicer arietinum, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Cicer arietinum, caffeoyl-CoA O-methyltransferase, KO:K00588, 
EC:2.1.1.104, Cicer arietinum, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Cicer arietinum, caffeoyl-CoA O-methyltransferase 5-like, 
KO:K00588, EC:2.1.1.104, Cicer arietinum, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Cicer arietinum, 
cinnamoyl-CoA reductase 2, KO:K09753, EC:1.2.1.44, Cicer arietinum, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Cicer arietinum, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Cicer arietinum, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Cicer arietinum, cytochrome P450 84A1, KO:K09755, EC:1.14.-.-, Cicer arietinum, caffeic acid 3-O-methyltransferase, 
KO:K13066, EC:2.1.1.68, Cicer arietinum, isoliquiritigenin 2'-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Cicer arietinum, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Cicer arietinum, isoliquiritigenin 2'-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Cicer arietinum, isoliquiritigenin 2'-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Cicer arietinum, isoliquiritigenin 2'-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Cicer arietinum, caffeic acid 3-O-methyltransferase 2-like, KO:K13066, EC:2.1.1.68, Cicer arietinum, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Cicer arietinum, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Cicer arietinum, 
probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, Cicer arietinum, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, 
Cicer arietinum, cannabidiolic acid synthase-like 1, KO:K22395, EC:1.1.1.195, Cicer arietinum, tetrahydrocannabinolic acid synthase-like, KO:K22395, 
EC:1.1.1.195, Cicer arietinum, reticuline oxidase-like protein, KO:K22395, EC:1.1.1.195, Cicer arietinum, reticuline oxidase-like, 
KO:K22395, EC:1.1.1.195, Cicer arietinum, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Cicer arietinum, 
1-Cys peroxiredoxin-like, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Cicer arietinum, peroxidase, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase E5-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase, 
peroxidase A2-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase, peroxidase 3, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
probable peroxidase 26, KO:K00430, EC:1.11.1.7, Cicer arietinum, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase, peroxidase 43, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 7-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 7-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 16-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 63, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 57-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase 11, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 66, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase 12, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase A2-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 45-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 9, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase 21, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 4-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 55, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase N-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 63-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase N, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 51-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 25, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase 73-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 41-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 29, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase 17-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 17-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 10, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase P7, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase, peroxidase 40, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase 44, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 44-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 64, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase 42-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 47, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 20, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 19, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 17-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase A2-like, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase 15-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Cicer arietinum, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 44-like, KO:K00430, 
EC:1.11.1.7, Cicer arietinum, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, peroxidase 15, 
KO:K00430, EC:1.11.1.7, Cicer arietinum, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Cicer arietinum, 
peroxidase 57-like, KO:K00430, EC:1.11.1.7, Cicer arietinum, UGT72V1, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
