Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Cynara cardunculus var. scolymus (Artichoke), trans-cinnamate 4-monooxygenase-like, 
KO:K00487, EC:1.14.14.91, Cynara cardunculus var. scolymus (Artichoke), trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Cynara cardunculus var. scolymus (Artichoke), 
4-coumarate--CoA ligase 1-like isoform X1, KO:K01904, EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase 2 isoform X1, KO:K01904, EC:6.2.1.12, 
Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase-like 7, KO:K01904, 
EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase 2-like, 
KO:K01904, EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 
4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Cynara cardunculus var. scolymus (Artichoke), 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Cynara cardunculus var. scolymus (Artichoke), omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Cynara cardunculus var. scolymus (Artichoke), pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), salutaridinol 7-O-acetyltransferase-like, KO:K13065, 
