Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase G4, KO:K10775, 
EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Gossypium arboreum, 
trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Gossypium arboreum, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, 
Gossypium arboreum, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Gossypium arboreum, 4-coumarate--CoA ligase-like 7, KO:K01904, 
EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase-like 1, 
KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase-like 7 isoform X1, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 
4-coumarate--CoA ligase 1-like, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Gossypium arboreum, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase 2-like, KO:K01904, 
EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase-like 6, 
KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase-like 9 isoform X1, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 
4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Gossypium arboreum, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like isoform X1, KO:K13065, EC:2.3.1.133, Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Gossypium arboreum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase, 
KO:K13065, EC:2.3.1.133, Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like isoform X1, KO:K13065, EC:2.3.1.133, Gossypium arboreum, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Gossypium arboreum, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Gossypium arboreum, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Gossypium arboreum, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Gossypium arboreum, cytochrome P450 98A2-like, 
KO:K09754, EC:1.14.14.96, Gossypium arboreum, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Gossypium arboreum, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Gossypium arboreum, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Gossypium arboreum, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Gossypium arboreum, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Gossypium arboreum, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Gossypium arboreum, caffeoyl-CoA O-methyltransferase 2-like, 
KO:K00588, EC:2.1.1.104, Gossypium arboreum, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Gossypium arboreum, 
caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Gossypium arboreum, caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, 
Gossypium arboreum, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Gossypium arboreum, caffeoyl-CoA O-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, Gossypium arboreum, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Gossypium arboreum, cinnamoyl-CoA reductase 1, 
KO:K09753, EC:1.2.1.44, Gossypium arboreum, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Gossypium arboreum, 
aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Gossypium arboreum, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Gossypium arboreum, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Gossypium arboreum, 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, 
EC:2.1.1.68, Gossypium arboreum, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like isoform X1, 
KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, EC:2.1.1.68, Gossypium arboreum, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, EC:2.1.1.68, 
Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Gossypium arboreum, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Gossypium arboreum, cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Gossypium arboreum, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Gossypium arboreum, probable cinnamyl alcohol dehydrogenase 9 isoform X1, KO:K00083, EC:1.1.1.195, 
Gossypium arboreum, cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Gossypium arboreum, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, 
