Phoenix dactylifera, 103712379, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103723569, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103720326, chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103720741, LOW QUALITY PROTEIN: chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103720740, LOW QUALITY PROTEIN: chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103698502, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103696411, LOW QUALITY PROTEIN: chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 108511484, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 103721160, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 103708901, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 103708217, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phoenix dactylifera, 103697163, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phoenix dactylifera, 103712517, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Phoenix dactylifera, 103702142, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103702256, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103722165, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103713131, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103706246, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103708914, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103710250, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phoenix dactylifera, 103708250, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phoenix dactylifera, 103712715, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Phoenix dactylifera, 103706786, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103706219, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103713287, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103702795, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Phoenix dactylifera, 103696959, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Phoenix dactylifera, 103698208, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Phoenix dactylifera, 103696132, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Phoenix dactylifera, 103700891, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Phoenix dactylifera, 103697376, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103697378, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103699039, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103706322, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
