Momordica charantia, 111010268, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111011135, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111021691, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111021693, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111021692, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111013592, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111013637, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111013639, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111013649, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111013660, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111013676, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111016602, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111024306, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111018232, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111017984, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111018233, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111024917, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111007257, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111018921, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111020903, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111024459, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111020482, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111019748, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111020820, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111008965, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Momordica charantia, 111005025, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111007275, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111009425, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111014128, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023140, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023154, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023179, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023192, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111014700, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111021609, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
