Brassica napus, 106367233, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106372253, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106378767, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106381815, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106382265, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106382267, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106431192, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106425116, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 111204286, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106352891, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106433979, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106433994, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106419065, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106440667, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106412109, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106421841, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106421923, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica napus, 106367722, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Brassica napus, 111197703, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Brassica napus, 106444347, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Brassica napus, 106449285, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Brassica napus, 106348278, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106348289, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106351881, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106351882, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106364152, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106348297, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106444537, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106382906, flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106405224, flavonol synthase 3-like isoform X2  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106419433, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106409586, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 111201386, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106397936, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica napus, 106437591, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106437590, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106451418, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 111205796, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106446415, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106348399, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106348398, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106387868, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106387869, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106419056, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Brassica napus, 111197716, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Brassica napus, 106447075, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
