Cicer arietinum, 101509831, PAL2; phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cicer arietinum, 101496077, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Cicer arietinum, 101507594, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cicer arietinum, 101493062, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Cicer arietinum, 101503511, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cicer arietinum, 101507607, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cicer arietinum, 101492721, CYP73; trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cicer arietinum, 101509548, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101490844, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101497059, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101500143, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101501443, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101491610, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101502718, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101514356, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101500547, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cicer arietinum, 101510481, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101491248, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 105852211, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101502383, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101501844, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101504101, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101502444, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101496291, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101513669, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101513347, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101502624, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cicer arietinum, 101510635, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cicer arietinum, 101514116, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cicer arietinum, 101506737, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cicer arietinum, 101497855, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cicer arietinum, 101498797, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cicer arietinum, 101490223, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cicer arietinum, 101497099, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101508155, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101511458, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101500474, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101497779, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Cicer arietinum, 101489660, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Cicer arietinum, 101493969, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cicer arietinum, 101514219, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cicer arietinum, 101513875, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cicer arietinum, 101512776, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cicer arietinum, 101491312, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Cicer arietinum, 101489645, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cicer arietinum, 101499314, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cicer arietinum, 101499972, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cicer arietinum, 101499511, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cicer arietinum, 101509288, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cicer arietinum, 101504377, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cicer arietinum, 101506453, cannabidiolic acid synthase-like 1  [EC], ['EC:1.1.1.195'], KO:K22395
Cicer arietinum, 101502042, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Cicer arietinum, 101501713, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Cicer arietinum, 101507526, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cicer arietinum, 101498199, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cicer arietinum, 105851861, peroxidase; peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101505702, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 105851877, peroxidase; peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101506026, peroxidase; peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101500894, peroxidase; peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101497448, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101510290, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101503097, peroxidase; peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101512456, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514192, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101489236, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101513640, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101495715, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101496376, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101504752, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514349, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101502012, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514256, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101512726, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514270, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101499171, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101499262, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101508237, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101496770, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101496110, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514640, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101510993, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101509487, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101503003, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101510425, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101493935, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101499424, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101498468, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101511809, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101506472, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101510308, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101501276, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101493351, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101511017, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101508646, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101502197, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101494541, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101497891, peroxidase; peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101501032, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101502840, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514325, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101504738, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101500893, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101498384, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101499357, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101512377, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101501013, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101506508, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101500399, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101500247, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101500561, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101500560, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101488651, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101488447, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101491463, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101513657, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101513984, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101489909, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101490245, peroxidase; cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101491218, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101492647, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101501223, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101513054, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101493509, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101498308, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101492428, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101492294, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101513670, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101514001, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101494255, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101511060, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101509139, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cicer arietinum, 101509130, UGT72V1; anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cicer arietinum, 101491418, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cicer arietinum, 101507775, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101515322, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101488720, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101503882, non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101509435, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101488394, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101490630, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101497475, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101500576, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101501237, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101503713, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101513528, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101512862, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101511695, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101514769, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101492350, non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101492014, non-cyanogenic beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101514443, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101501627, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101491699, non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101492683, non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101491385, non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101501940, Bglc-2; non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101515176, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
