Cajanus cajan, 109791295, 2-hydroxyisoflavanone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Cajanus cajan, 109794824, 2-hydroxyisoflavanone dehydratase-like  [EC], ['EC:4.2.1.105'], KO:K13258
Cajanus cajan, 109816528, isoflavone 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Cajanus cajan, 109806741, LOW QUALITY PROTEIN: isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.88'], KO:K22932
Cajanus cajan, 109794035, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109811112, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109790994, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109792385, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109793792, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109794026, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109806902, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Cajanus cajan, 109795035, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Cajanus cajan, 109818703, isoflavone-7-O-methyltransferase 9-like  [EC], ['EC:2.1.1.150'], KO:K13262
Cajanus cajan, 109802960, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Cajanus cajan, 109802220, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Cajanus cajan, 109802855, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Cajanus cajan, 109811028, BAHD acyltransferase At3g29680-like  [EC], ['EC:2.3.1.115'], KO:K13264
Cajanus cajan, 109802944, vestitone reductase-like  [EC], ['EC:1.1.1.348'], KO:K13265
Cajanus cajan, 109800373, isoflavone reductase-like protein  [EC], ['EC:1.23.1.-'], KO:K13266
Cajanus cajan, 109818578, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Cajanus cajan, 109818580, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Cajanus cajan, 109818576, cytochrome P450 71D9  [EC], ['EC:1.14.13.-'], KO:K13267
Cajanus cajan, 109798920, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
