Solanum tuberosum, 102585026, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102596343, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102595248, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102585357, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102597781, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102582618, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102605661, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 107057661, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102596017, PAL; phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102596891, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102587888, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102586761, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum tuberosum, 102605644, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum tuberosum, 102597265, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102584603, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102581073, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102590237, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102596056, 4CL-1; 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102594991, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102589212, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102589793, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102588483, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum tuberosum, 102577662, HQT  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102589390, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102594495, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102588095, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102598447, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102600568, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102603923, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102595755, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102586710, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102584624, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102582878, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102578335, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107059122, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
