Ricinus communis, 8284514, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ricinus communis, 8273543, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Ricinus communis, 8264881, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ricinus communis, 8272515, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ricinus communis, 8272514, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ricinus communis, 8282005, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ricinus communis, 8261059, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Ricinus communis, 8280463, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8275217, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8286786, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8280301, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8270667, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8284003, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8278533, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8266336, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Ricinus communis, 8280259, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266356, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266358, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8278440, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8274229, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8273365, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8264850, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266727, putrescine hydroxycinnamoyltransferase 3  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266728, agmatine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8260126, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8261723, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8267026, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8264821, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8264849, LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 112535158, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 112537007, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8277880, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Ricinus communis, 8277408, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Ricinus communis, 8277879, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Ricinus communis, 8259873, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Ricinus communis, 8280149, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ricinus communis, 8258857, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Ricinus communis, 8272336, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ricinus communis, 8288340, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8272283, caffeoyl-CoA O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8265095, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8265096, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8289466, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8289465, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8289464, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8259741, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Ricinus communis, 8284818, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Ricinus communis, 8284821, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
