Theobroma cacao, 18590901, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Theobroma cacao, 18597973, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Theobroma cacao, 18586419, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Theobroma cacao, 18589488, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Theobroma cacao, 18591096, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Theobroma cacao, 18587499, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Theobroma cacao, 18589246, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18606860, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18599509, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18596332, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18608984, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18598026, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18590950, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18605066, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Theobroma cacao, 18587818, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18587819, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 108660761, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 108660776, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18609668, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18609669, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18605051, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18605052, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18605054, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18602309, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18587820, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18587816, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 108662026, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
