Arachis ipaensis, 107607787, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638906, LOW QUALITY PROTEIN: putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 110270923, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638892, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638894, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638895, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638896, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638897, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638898, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638900, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638902, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638908, stilbene synthase 1 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638914, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638915, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638918, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638919, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638921, stilbene synthase 3-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638922, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638923, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638929, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107629529, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638244, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107638245, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107605370, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107605371, stilbene synthase 3-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107607790, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107604885, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107623037, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107607788, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107636081, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107617316, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis ipaensis, 107617317, chalcone--flavonone isomerase 1A  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis ipaensis, 107617318, chalcone--flavonone isomerase 1B-1  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis ipaensis, 107624010, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis ipaensis, 107622822, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Arachis ipaensis, 107617070, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis ipaensis, 107609791, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis ipaensis, 107616560, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis ipaensis, 107608857, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis ipaensis, 107635198, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis ipaensis, 107609108, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis ipaensis, 107634112, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Arachis ipaensis, 107623580, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis ipaensis, 107642984, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Arachis ipaensis, 107626250, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Arachis ipaensis, 107643784, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Arachis ipaensis, 107645049, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Arachis ipaensis, 107617937, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604919, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107627465, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107627468, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604982, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604983, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604985, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
