Zea mays, 100281042, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 100285115, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 100381820, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 100273579, uncharacterized protein LOC100273579  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 100281532, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 103627433, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 103655990, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 109943525, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 542258, pal3; phenylalanine/tyrosine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Zea mays, 100272756, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 100284998, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 100272801, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 103636555, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 100283944, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 542166, pco063262; uncharacterized protein LOC542166  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 100191850, uncharacterized protein LOC100191850  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 100280065, uncharacterized LOC100280065  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 100382272, uncharacterized protein LOC100382272  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 103637741, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 103653944, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Zea mays, 100194386, gpm105; uncharacterized protein LOC100194386  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100279386, TIDP2701; uncharacterized protein LOC100279386 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100274269, uncharacterized protein LOC100274269  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100279986, uncharacterized protein LOC100279986  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100279982, pco076728; Spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100281073, anthranilate N-benzoyltransferase protein 1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100284063, pco096884; uncharacterized protein LOC100284063  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100284770, uncharacterized protein LOC100284770  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100304329, uncharacterized protein LOC100304329  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100382972, uncharacterized protein LOC100382972  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 103649821, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 103649769, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100501555, uncharacterized protein LOC100501555  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 103649816, putrescine hydroxycinnamoyltransferase 1 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 109942262, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 109942297, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100191539, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.96'], KO:K09754
Zea mays, 100274274, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.96'], KO:K09754
Zea mays, 100193405, uncharacterized protein LOC100193405  [EC], ['EC:3.1.1.-'], KO:K18368
Zea mays, 103629314, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Zea mays, 100191674, AY109678; uncharacterized protein LOC100191674  [EC], ['EC:3.1.1.-'], KO:K18368
Zea mays, 107282093, uncharacterized protein LOC107282093  [EC], ['EC:2.1.1.104'], KO:K00588
Zea mays, 100273683, CCOAOMT2; caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Zea mays, 542463, cncr1; cinnamoyl CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 100285564, dihydroflavonol-4-reductase  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 100382657, uncharacterized protein LOC100382657  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 103634692, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 103634693, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 542735, cncr2; cinnamoyl CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 109946031, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 103654125, cinnamoyl-CoA reductase 1 isoform X2  [EC], ['EC:1.2.1.44'], KO:K09753
Zea mays, 541914, aldh5; aldehyde dehydrogenase 5  [EC], ['EC:1.2.1.68'], KO:K12355
Zea mays, 541913, rf2c; cytosolic aldehyde dehydrogenase RF2C  [EC], ['EC:1.2.1.68'], KO:K12355
Zea mays, 103629801, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Zea mays, 103637346, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Zea mays, 100273589, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.-.-'], KO:K09755
Zea mays, 103643375, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Zea mays, 100125646, comt; caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Zea mays, 542663, cad; probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Zea mays, 100192586, putative cinnamyl-alcohol dehydrogenase family protein  [EC], ['EC:1.1.1.195'], KO:K00083
Zea mays, 100216819, putative cinnamyl-alcohol dehydrogenase family protein  [EC], ['EC:1.1.1.195'], KO:K00083
Zea mays, 100281367, uncharacterized protein LOC100281367  [EC], ['EC:1.1.1.195'], KO:K00083
Zea mays, 100281336, cl4921_1; uncharacterized protein LOC100281336  [EC], ['EC:1.1.1.195'], KO:K00083
Zea mays, 100037830, PER1; 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Zea mays, 100192080, uncharacterized LOC100192080 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 542029, pox1; peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 542464, ap1; anionic peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100193723, peroxidase 12 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103644044, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216922, pco070211; uncharacterized protein LOC100216922 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100194034, uncharacterized protein LOC100194034 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100194008, uncharacterized protein LOC100194008  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100194341, uncharacterized protein LOC100194341 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100272496, uncharacterized protein LOC100272496 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216881, uncharacterized protein LOC100216881 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273283, uncharacterized protein LOC100273283  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100276245, putative class III secretory plant peroxidase family protein precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100193733, peroxidase 12 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100217011, TIDP2670; uncharacterized protein LOC100217011 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273989, putative class III secretory plant peroxidase family protein precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273104, uncharacterized protein LOC100273104 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100282411, pco123006; uncharacterized protein LOC100282411 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100191217, TIDP3136; uncharacterized protein LOC100191217 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100282124, peroxidase 72 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100282431, TIDP3438; uncharacterized protein LOC100282431 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100283382, peroxidase 39 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100272764, uncharacterized protein LOC100272764 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100125639, PER70; peroxidase 70 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100281280, peroxidase 1 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100282342, peroxidase 27 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100279351, uncharacterized protein LOC100279351 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285577, peroxidase 52 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100192761, TIDP3705; uncharacterized protein LOC100192761 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100192105, uncharacterized protein LOC100192105 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100383495, uncharacterized protein LOC100383495 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273221, peroxidase 40 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100382033, pco080795; uncharacterized protein LOC100382033 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100280077, uncharacterized protein LOC100280077 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100192603, uncharacterized protein LOC100192603 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100384634, uncharacterized protein LOC100384634 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100284887, peroxidase 65 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100280824, uaz235(px); uncharacterized protein LOC100280824 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100281032, pco106247; uncharacterized protein LOC100281032 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100281286, peroxidase 45 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 107546759, uncharacterized protein LOC107546759 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 107548102, uncharacterized protein LOC107548102 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216632, umc1244; uncharacterized protein LOC100216632 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100279575, uncharacterized protein LOC100279575 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 107457593, uncharacterized protein LOC107457593 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 107457598, uncharacterized protein LOC107457598  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100279673, uncharacterized protein LOC100279673 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 541674, peroxidase 66 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103650629, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103639570, peroxidase 44-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100283865, TIDP2769; uncharacterized protein LOC100283865 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100284334, uncharacterized protein LOC100284334 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285274, peroxidase 68 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285457, peroxidase 16 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285877, peroxidase 56 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285894, peroxidase 1 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100284675, umc2389; uncharacterized protein LOC100284675 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100384441, uncharacterized protein LOC100384441 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285655, uncharacterized protein LOC100285655 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285056, peroxidase 2 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103647239, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103647877, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103647879, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103647881, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103626369, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103627003, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103626198, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103628533, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103628960, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103629160, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103632885, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103640022, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 542505, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103631733, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103634415, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103640218, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103641348, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103641350, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103641351, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103641353, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103635254, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103638909, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103642084, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103639086, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273055, uncharacterized protein LOC100273055 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103635381, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103635393, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103637680, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103631868, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633187, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633271, peroxidase A2 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103635633, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103645320, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103635713, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633481, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633483, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633557, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216859, Peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273315, uncharacterized protein LOC100273315 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103638313, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100280551, peroxidase 1 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100286338, umc2588; uncharacterized protein LOC100286338 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100274427, pco083783; uncharacterized protein LOC100274427 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216644, uncharacterized protein LOC100216644  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100191153, uncharacterized protein LOC100191153  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100191905, uncharacterized LOC100191905 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100101533, pco073925; peroxidase 42 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 542571, pox2; peroxidase 2 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100191304, uncharacterized protein LOC100191304 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216995, peroxidase 54 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100192482, uncharacterized protein LOC100192482  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100382459, uncharacterized protein LOC100382459 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100282284, pco072957b; uncharacterized protein LOC100282284 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273479, gpm233; uncharacterized protein LOC100273479 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100191769, gpm853; uncharacterized protein LOC100191769 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100281052, peroxidase 52 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100383323, uncharacterized protein LOC100383323 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100381507, uncharacterized protein LOC100381507 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100273061, uncharacterized LOC100273061 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100216875, peroxidase 72 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100280862, peroxidase 52 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100285899, peroxidase 51 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 100281950, peroxidase 1 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103645835, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633479, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103650080, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103634416, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103651934, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103642599, LOW QUALITY PROTEIN: peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103633480, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 109940806, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
