Oryza sativa japonica RAPDB, Os11t0530600-01, (RAP-DB) Os11g0530600; Similar to Chalcone synthase C2 (EC) (Naringenin-chalcone synthase C2).  [EC], ['EC:2.3.1.74', 'EC:2.3.1.74'], KO:K00660
Oryza sativa japonica RAPDB, Os07t0214900-00, (RAP-DB) Os07g0214900; Similar to Chalcone synthase C2 (EC) (Naringenin-chalcone synthase C2).  [EC], ['EC:2.3.1.74', 'EC:2.3.1.74'], KO:K00660
Oryza sativa japonica RAPDB, Os03t0819600-01, (RAP-DB) Os03g0819600; Chalcone isomerase (EC).  [EC], ['EC:5.5.1.6', 'EC:5.5.1.6'], KO:K01859
Oryza sativa japonica RAPDB, Os12t0115700-01, (RAP-DB) Os12g0115700; Chalcone isomerase domain containing protein.  [EC], ['EC:5.5.1.6'], KO:K01859
Oryza sativa japonica RAPDB, Os11t0116300-01, (RAP-DB) Os11g0116300; Chalcone isomerase domain containing protein.  [EC], ['EC:5.5.1.6'], KO:K01859
Oryza sativa japonica RAPDB, Os04t0662600-00, (RAP-DB) Os04g0662600; Similar to Naringenin,2-oxoglutarate 3-dioxygenase.  [EC], ['EC:1.14.11.9'], KO:K00475
Oryza sativa japonica RAPDB, Os02t0767300-01, (RAP-DB) Os02g0767300; Similar to Flavonol synthase/flavanone 3-hydroxylase (EC) (EC) (FLS) (CitFLS).  [EC], ['EC:1.14.11.23', 'EC:1.14.11.9', 'EC:1.14.20.6'], KO:K05278
Oryza sativa japonica RAPDB, Os02t0467000-00, (RAP-DB) Os02g0467000; Similar to trans-cinnamate 4-monooxygenase.  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza sativa japonica RAPDB, Os02t0467600-01, (RAP-DB) Os02g0467600; Similar to Cinnamate 4-hydroxylase CYP73.  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza sativa japonica RAPDB, Os05t0320700-02, (RAP-DB) Os05g0320700; Similar to Cytochrome P450.  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza sativa japonica RAPDB, Os10t0320100-01, (RAP-DB) Os10g0320100; Similar to Flavonoid 3'-monooxygenase (EC) (Flavonoid 3'-hydroxylase) (Cytochrome P450 75B2).  [EC], ['EC:1.14.13.21', 'EC:1.14.14.82'], KO:K05280
Oryza sativa japonica RAPDB, Os10t0317900-01, (RAP-DB) Os10g0317900; Similar to Flavonoid 3'-monooxygenase (EC) (Flavonoid 3'-hydroxylase) (Cytochrome P450 75B2).  [EC], ['EC:1.14.13.21', 'EC:1.14.14.82'], KO:K05280
Oryza sativa japonica RAPDB, Os01t0633500-00, (RAP-DB) Os01g0633500; Similar to Dihydroflavonol reductase.  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Oryza sativa japonica RAPDB, Os04t0101400-01, (RAP-DB) Os04g0101400; Cytochrome P450 family protein.  [EC], ['EC:1.14.19.76'], KO:K23180
Oryza sativa japonica RAPDB, Os03t0367101-00, (RAP-DB) Os03g0367101; Similar to cytochrome P450 flavonoid 3',5'-hydroxylase.  [EC], ['EC:1.14.14.81'], KO:K13083
Oryza sativa japonica RAPDB, Os01t0372500-00, (RAP-DB) Os01g0372500; Similar to Leucoanthocyanidin dioxygenase (EC) (LDOX) (Leucocyanidin oxygenase) (Leucoanthocyanidin hydroxylase).  [EC], ['EC:1.14.11.19', 'EC:1.14.20.4'], KO:K05277
Oryza sativa japonica RAPDB, Os06t0626700-00, (RAP-DB) Os06g0626700; Isopenicillin N synthase family protein.  [EC], ['EC:1.14.20.4'], KO:K05277
Oryza sativa japonica RAPDB, Os04t0630100-01, (RAP-DB) Os04g0630100; NAD(P)-binding domain containing protein.  [EC], ['EC:1.3.1.77'], KO:K08695
Oryza sativa japonica RAPDB, Os04t0630300-01, (RAP-DB) Os04g0630300; NAD(P)-binding domain containing protein.  [EC], ['EC:1.3.1.77'], KO:K08695
