Phaseolus vulgaris, PHAVU_009G131000g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_001G083000g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G038700g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G0389001, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G0390000, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G039100g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G039300g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G184300g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_001G067800g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_002G038600g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_007G008600g, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Phaseolus vulgaris, PHAVU_003G216600g, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Phaseolus vulgaris, PHAVU_002G276500g, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Phaseolus vulgaris, PHAVU_007G008500g, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Phaseolus vulgaris, PHAVU_009G143100g, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Phaseolus vulgaris, PHAVU_003G261900g, hypothetical protein  [EC], ['EC:1.14.11.9'], KO:K00475
Phaseolus vulgaris, PHAVU_004G052400g, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Phaseolus vulgaris, PHAVU_008G1660000, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Phaseolus vulgaris, PHAVU_008G247400g, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Phaseolus vulgaris, PHAVU_006G079700g, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Phaseolus vulgaris, PHAVU_007G026000g, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Phaseolus vulgaris, PHAVU_008G287200g, hypothetical protein , [], KO:K08243
Phaseolus vulgaris, PHAVU_008G287300g, hypothetical protein , [], KO:K08243
Phaseolus vulgaris, PHAVU_007G253700g, hypothetical protein , [], KO:K08243
Phaseolus vulgaris, PHAVU_008G015800g, hypothetical protein , [], KO:K08243
Phaseolus vulgaris, PHAVU_009G207800g, hypothetical protein , [], KO:K08243
Phaseolus vulgaris, PHAVU_011G068100g, hypothetical protein  [EC], ['EC:1.14.19.76'], KO:K23179
Phaseolus vulgaris, PHAVU_003G1855001, hypothetical protein  [EC], ['EC:1.14.14.82'], KO:K05280
Phaseolus vulgaris, PHAVU_009G192400g, hypothetical protein  [EC], ['EC:1.14.14.82'], KO:K05280
Phaseolus vulgaris, PHAVU_001G012700g, hypothetical protein  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Phaseolus vulgaris, PHAVU_001G012800g, hypothetical protein  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Phaseolus vulgaris, PHAVU_007G246200g, hypothetical protein  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Phaseolus vulgaris, PHAVU_006G015400g, hypothetical protein  [EC], ['EC:1.14.14.81'], KO:K13083
Phaseolus vulgaris, PHAVU_006G018800g, hypothetical protein  [EC], ['EC:1.14.14.81'], KO:K13083
Phaseolus vulgaris, PHAVU_002G152700g, hypothetical protein  [EC], ['EC:1.14.20.4'], KO:K05277
Phaseolus vulgaris, PHAVU_002G218600g, hypothetical protein  [EC], ['EC:1.3.1.77'], KO:K08695
Phaseolus vulgaris, PHAVU_002G218700g, hypothetical protein  [EC], ['EC:1.3.1.77'], KO:K08695
Phaseolus vulgaris, PHAVU_007G102100g, hypothetical protein  [EC], ['EC:1.17.1.3'], KO:K13081
