Juglans regia, 108988452, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 108992049, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 108981066, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 109014073, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 109020591, chalcone synthase-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 109001281, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 108995889, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Juglans regia, 108996546, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Juglans regia, 109007666, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Juglans regia, 108997708, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Juglans regia, 108981974, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Juglans regia, 108988364, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Juglans regia, 108982002, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Juglans regia, 108991214, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Juglans regia, 109012769, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Juglans regia, 108996947, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 108996955, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 108993196, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 109002391, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 108982908, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Juglans regia, 108991381, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Juglans regia, 109000585, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Juglans regia, 118344424, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Juglans regia, 109010746, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Juglans regia, 108979344, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Juglans regia, 109002691, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Juglans regia, 108994581, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Juglans regia, 109000235, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Juglans regia, 108993261, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Juglans regia, 108982034, UDP-glycosyltransferase 88B1-like  [EC], ['EC:2.4.1.357'], KO:K22845
Juglans regia, 108981731, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108981736, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979504, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979112, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979956, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979963, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988418, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988419, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988428, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988430, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988434, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108985317, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108985506, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108985508, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109008231, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108999688, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109009540, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109005487, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109020915, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109010986, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109019007, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Juglans regia, 109008126, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Juglans regia, 109008127, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Juglans regia, 109003166, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108988942, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108989769, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108989770, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108999180, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
