Glycine soja, 114419594, 2-hydroxyisoflavanone synthase-like  [EC], ['EC:1.14.14.87'], KO:K13257
Glycine soja, 114374378, 2-hydroxyisoflavanone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Glycine soja, 114374486, 2-hydroxyisoflavanone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Glycine soja, 114367895, 2-hydroxyisoflavanone dehydratase  [EC], ['EC:4.2.1.105'], KO:K13258
Glycine soja, 114371837, uncharacterized protein LOC114371837  [EC], ['EC:4.2.1.105'], KO:K13258
Glycine soja, 114374101, isoflavone 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Glycine soja, 114374126, isoflavone 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Glycine soja, 114424365, isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.88'], KO:K22932
Glycine soja, 114373520, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114404224, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114425838, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114424679, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114367290, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114390631, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114367022, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114425469, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114425468, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114368609, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine soja, 114406771, 3,9-dihydroxypterocarpan 6A-monooxygenase  [EC], ['EC:1.14.14.93'], KO:K13261
Glycine soja, 114399397, 3,9-dihydroxypterocarpan 6A-monooxygenase-like  [EC], ['EC:1.14.14.93'], KO:K13261
Glycine soja, 114395852, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114402638, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114422730, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114395435, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114402878, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114395780, flavonoid 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114395926, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114402360, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114370383, isoflavone-7-O-methyltransferase 9-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114369283, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114370796, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114366990, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114366991, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine soja, 114389413, isoflavone 7-O-glucosyltransferase 1  [EC], ['EC:2.4.1.170'], KO:K13263
Glycine soja, 114389415, isoflavone 7-O-glucosyltransferase 1-like  [EC], ['EC:2.4.1.170'], KO:K13263
Glycine soja, 114390098, isoflavone 7-O-glucosyltransferase 1-like  [EC], ['EC:2.4.1.170'], KO:K13263
Glycine soja, 114382130, phenolic glucoside malonyltransferase 1-like  [EC], ['EC:2.3.1.115'], KO:K13264
Glycine soja, 114398048, phenolic glucoside malonyltransferase 1-like  [EC], ['EC:2.3.1.115'], KO:K13264
Glycine soja, 114372907, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine soja, 114420408, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine soja, 114420398, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine soja, 114374345, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine soja, 114394525, vestitone reductase-like  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine soja, 114394465, vestitone reductase-like  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine soja, 114425491, vestitone reductase-like  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine soja, 114425668, vestitone reductase-like  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine soja, 114406807, dirigent protein 1-like  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine soja, 114399619, dirigent protein 1-like  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine soja, 114406806, dirigent protein 1-like  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine soja, 114399676, dirigent protein 1-like  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine soja, 114396320, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Glycine soja, 114423903, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Glycine soja, 114395859, cytochrome P450 71D9  [EC], ['EC:1.14.13.-'], KO:K13267
Glycine soja, 114379343, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
