Lactuca sativa, 111901848, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882072, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882075, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882076, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882082, naringenin-chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882088, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882089, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111882091, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111883451, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Lactuca sativa, 111905480, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Lactuca sativa, 111919658, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Lactuca sativa, 111895243, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Lactuca sativa, 111897600, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Lactuca sativa, 111900153, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Lactuca sativa, 111876528, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Lactuca sativa, 111886666, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Lactuca sativa, 111905568, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Lactuca sativa, 111908262, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Lactuca sativa, 111891078, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Lactuca sativa, 111897350, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Lactuca sativa, 111892226, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111881682, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111878060, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111878160, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111914857, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111919896, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111885009, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111919428, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111877005, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111891710, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111877593, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111883858, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885272, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885273, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885277, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111876730, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111876731, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111876734, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885713, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111887149, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111887151, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111895275, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111895278, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111877537, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
