Cucumis sativus, 101205211, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Cucumis sativus, 101221017, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Cucumis sativus, 101218716, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Cucumis sativus, 101215613, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Cucumis sativus, 101206443, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Cucumis sativus, 101219245, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Cucumis sativus, 101205775, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101205537, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101204747, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101221846, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 105434566, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101208511, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101207160, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cucumis sativus, 101214857, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101218593, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101207639, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101206618, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101207100, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101222983, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101202947, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101214439, BAHD acyltransferase BIA1  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 105435341, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101223215, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101217257, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucumis sativus, 101205648, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucumis sativus, 101212121, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
