Brassica oleracea, 106328481, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica oleracea, 106313587, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica oleracea, 106324440, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica oleracea, 106327741, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica oleracea, 106312851, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica oleracea, 106324842, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica oleracea, 106309515, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica oleracea, 106310545, chalcone--flavonone isomerase-like isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica oleracea, 106316013, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica oleracea, 106298325, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Brassica oleracea, 106338655, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Brassica oleracea, 106307555, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Brassica oleracea, 106328324, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica oleracea, 106332816, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica oleracea, 106320382, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica oleracea, 106316306, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica oleracea, 106313418, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica oleracea, 106341567, LOW QUALITY PROTEIN: flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Brassica oleracea, 106342634, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106295375, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106336023, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106337156, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106329505, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106313667, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Brassica oleracea, 106315758, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Brassica oleracea, 106301636, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Brassica oleracea, 106339986, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Brassica oleracea, 106323258, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica oleracea, 106302532, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica oleracea, 106341298, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica oleracea, 106298662, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106342917, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106332680, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106335132, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106335133, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106306290, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106316626, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106342398, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica oleracea, 106340718, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica oleracea, 106335822, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica oleracea, 106299378, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106301917, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106302092, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106303648, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106319334, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106328058, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106331776, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106333106, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
