Vigna unguiculata, 114191008, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna unguiculata, 114194438, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna unguiculata, 114192381, phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna unguiculata, 114184506, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna unguiculata, 114165156, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna unguiculata, 114193905, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna unguiculata, 114187493, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna unguiculata, 114189889, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna unguiculata, 114168342, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114170494, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114173039, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114177559, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114185049, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114173797, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114186997, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114177449, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114177343, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114185517, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114196041, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna unguiculata, 114188972, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114188979, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114177503, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114178886, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114178887, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114185954, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114186815, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114186979, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114167094, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187412, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187506, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187552, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187600, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187617, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187628, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187632, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114184832, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114179972, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114176021, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114181075, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114181608, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114165158, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114163969, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114165191, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114185566, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187064, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114186352, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vigna unguiculata, 114191498, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna unguiculata, 114189660, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna unguiculata, 114175877, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna unguiculata, 114182720, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna unguiculata, 114189555, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna unguiculata, 114175063, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114176655, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114174890, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114179485, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114176528, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114177780, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114176743, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114173033, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114179722, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114185415, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Vigna unguiculata, 114166279, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Vigna unguiculata, 114179619, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna unguiculata, 114179363, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna unguiculata, 114182153, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna unguiculata, 114181137, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna unguiculata, 114166452, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Vigna unguiculata, 114176860, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Vigna unguiculata, 114162415, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna unguiculata, 114193513, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna unguiculata, 114164317, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna unguiculata, 114167305, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna unguiculata, 114166549, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna unguiculata, 114162417, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
