Glycine max, 106799718, CHS5; chalcone synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100779649, CHS4A; chalcone synthase 4a  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100785554, CHS11; chalcone synthase 11  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100788048, CHS10; chalcone synthase 10  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 732575, CHS1; chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100782897, CHS7; chalcone synthase 7  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100789075, CHS3C; chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100790997, CHS9; chalcone synthase 9  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100792581, CHS4B; chalcone synthase 4b  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100809433, CHS6; chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100791524, CHS3; chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100794652, CHS14; chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100170701, CHS8; chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100775264, CHS13; chalcone synthase 13  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 106794283, CHS3B; chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 102663074, LOW QUALITY PROTEIN: chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 547602, CHI1A; chalcone--flavonone isomerase 1A  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine max, 732546, CHI2-A; chalcone--flavonone isomerase 2-A  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine max, 732545, CHI1B1; chalcone--flavonone isomerase 1B-1  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine max, 100037455, CHI1B2; chalcone--flavonone isomerase 1B-2  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine max, 732547, CHI4A; chalcone isomerase 4A  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine max, 778027, CHI4B; chalcone isomerase 4B  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine max, 100780057, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine max, 100818312, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine max, 732548, F3H; flavanone 3-hydroxylase  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine max, 100799462, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine max, 100815441, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine max, 100816829, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Glycine max, 778157, FLS1; flavonol synthase  [EC], ['EC:1.14.20.6'], KO:K05278
Glycine max, 100810937, uncharacterized protein LOC100810937  [EC], ['EC:1.14.20.6'], KO:K05278
Glycine max, 100499623, C4H; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine max, 100818985, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine max, 100812188, C4H1; cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine max, 547911, CHR1; chalcone reductase CHR1 , [], KO:K08243
Glycine max, 100800931, CHR6; chalcone reductase CHR6 , [], KO:K08243
Glycine max, 100820161, CHR5; chalcone reductase CHR5 , [], KO:K08243
Glycine max, 100790074, CHR4; chalcone reductase CHR4 , [], KO:K08243
Glycine max, 100788544, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Glycine max, 100783503, FNSII-1; cytochrome P450 93B16  [EC], ['EC:1.14.19.76'], KO:K23179
Glycine max, 100784036, FNSII-2; flavone synthase II  [EC], ['EC:1.14.19.76'], KO:K23179
Glycine max, 547475, SF3'H1; flavonoid 3'-hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100777999, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100778531, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100779588, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100807293, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 548087, DFR1; dihydroflavonol-4-reductase DFR1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Glycine max, 732626, DFR2; dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Glycine max, 100778253, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Glycine max, 547705, W1; flavonoid 3', 5'-hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Glycine max, 547615, ANS2; anthocyanidin synthase  [EC], ['EC:1.14.20.4'], KO:K05277
Glycine max, 100801148, ANS3; leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Glycine max, 100805127, ANR1; anthocyanidin reductase 1  [EC], ['EC:1.3.1.77'], KO:K08695
Glycine max, 100817081, ANR2; anthocyanidin reductase 2  [EC], ['EC:1.3.1.77'], KO:K08695
Glycine max, 100786879, LAR1; leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Glycine max, 100795100, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Glycine max, 100776621, SOMT-2; flavonoid 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.231'], KO:K23053
Glycine max, 100787088, IF7GT6; isoflavone 7-O-glucosyltransferase UGT6  [EC], ['EC:2.4.1.357'], KO:K22845
Glycine max, 100806561, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100820075, shikimate O-hydroxycinnamoyltransferase isoform X3  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100499712, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777157, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777680, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
