Aegilops tauschii, 109739868, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109739869, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109758766, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109780460, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109768285, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109768286, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109787049, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109743740, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109775497, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109775499, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109775501, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109743836, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109752472, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109752473, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109752474, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109764886, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Aegilops tauschii, 109782217, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Aegilops tauschii, 109770765, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Aegilops tauschii, 109784747, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Aegilops tauschii, 109764595, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Aegilops tauschii, 109768154, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Aegilops tauschii, 109771714, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109754216, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109762639, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
