Gossypium arboreum, 108481961, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108453147, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108476011, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108489252, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108489255, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108465827, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108454524, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108457753, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium arboreum, 108461376, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium arboreum, 108474291, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium arboreum, 108479753, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium arboreum, 108457975, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium arboreum, 108459765, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium arboreum, 108452122, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium arboreum, 108489327, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium arboreum, 108486152, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium arboreum, 108486612, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium arboreum, 108460293, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Gossypium arboreum, 108463531, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Gossypium arboreum, 108462515, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Gossypium arboreum, 108479810, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Gossypium arboreum, 108480324, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium arboreum, 108454128, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium arboreum, 108453491, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Gossypium arboreum, 108459521, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Gossypium arboreum, 108470207, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Gossypium arboreum, 108461632, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Gossypium arboreum, 108452981, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Gossypium arboreum, 108476741, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium arboreum, 108454436, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium arboreum, 108470618, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium arboreum, 108466846, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium arboreum, 108471502, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108478787, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108482505, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108473107, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108486984, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108488029, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108459256, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108458439, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108458751, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108459131, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108453565, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108458265, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108462666, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108463386, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
