Beta vulgaris, 104903734, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104905367, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104905366, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104905365, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 109136247, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104887630, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104887632, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104897651, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104897756, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Beta vulgaris, 104886918, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Beta vulgaris, 104886934, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Beta vulgaris, 104887628, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Beta vulgaris, 104905155, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Beta vulgaris, 104905116, flavanone 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Beta vulgaris, 104905115, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Beta vulgaris, 104905117, flavanone 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Beta vulgaris, 104895196, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Beta vulgaris, 104883093, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Beta vulgaris, 104901038, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Beta vulgaris, 104886776, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Beta vulgaris, 104900289, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Beta vulgaris, 104907876, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Beta vulgaris, 104889670, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Beta vulgaris, 104892380, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Beta vulgaris, 104883056, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Beta vulgaris, 104908227, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Beta vulgaris, 104886619, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104884151, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889752, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889289, anthranilate N-benzoyltransferase protein 3  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889291, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889292, anthranilate N-benzoyltransferase protein 2  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104886661, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104883265, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104883267, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104890181, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104897332, anthranilate N-benzoyltransferase protein 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104887604, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104889547, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104889649, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104889748, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104904122, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104883953, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104897576, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104908900, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104883950, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
