Asparagus officinalis, 109833799, octaketide synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Asparagus officinalis, 109823892, LOW QUALITY PROTEIN: chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Asparagus officinalis, 109850162, LOW QUALITY PROTEIN: octaketide synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Asparagus officinalis, 109829834, LOW QUALITY PROTEIN: chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Asparagus officinalis, 109836525, LOW QUALITY PROTEIN: chalcone synthase 1B-like  [EC], ['EC:2.3.1.74'], KO:K00660
Asparagus officinalis, 109829369, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Asparagus officinalis, 109850953, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Asparagus officinalis, 109850014, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Asparagus officinalis, 109821880, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Asparagus officinalis, 109848156, LOW QUALITY PROTEIN: naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Asparagus officinalis, 109820207, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Asparagus officinalis, 109846559, LOW QUALITY PROTEIN: trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Asparagus officinalis, 109835873, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Asparagus officinalis, 109837072, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Asparagus officinalis, 109819797, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Asparagus officinalis, 109843175, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Asparagus officinalis, 109849442, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Asparagus officinalis, 109821630, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Asparagus officinalis, 109834931, LOW QUALITY PROTEIN: leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Asparagus officinalis, 109842049, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109842050, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109835988, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109838224, LOW QUALITY PROTEIN: BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109844024, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109844025, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109847566, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109819911, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Asparagus officinalis, 109830783, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830123, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830124, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830125, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830127, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830128, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830129, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109831608, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109835762, LOW QUALITY PROTEIN: caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
