Cucumis melo, 103491170, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103492351, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103494630, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103494628, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103494629, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103496433, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103491177, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103491176, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103491171, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103491172, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103491175, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103501962, pal; phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103496249, c4H; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492244, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492214, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492222, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492250, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103497013, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103486502, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103501298, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103488874, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103493360, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103494274, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103499867, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103499870, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103499868, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103501067, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103501216, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103499264, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 107990308, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis melo, 103494519, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103485990, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103487746, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103488922, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103488921, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103488534, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103504176, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103486874, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucumis melo, 103494767, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis melo, 103489918, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis melo, 103485032, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis melo, 103498599, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis melo, 103503381, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis melo, 103488897, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Cucumis melo, 103495237, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucumis melo, 103499837, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis melo, 103500289, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis melo, 103500290, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis melo, 103502823, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis melo, 103502824, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis melo, 103501546, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Cucumis melo, 103490415, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cucumis melo, 103485107, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cucumis melo, 103501180, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis melo, 107990280, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis melo, 107990972, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis melo, 103491014, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis melo, 103503246, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis melo, 103482886, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis melo, 103496188, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis melo, 103503861, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis melo, 103499659, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis melo, 103499660, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis melo, 103484298, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Cucumis melo, 103488583, flavin-dependent oxidoreductase FOX5-like  [EC], ['EC:1.1.1.195'], KO:K22395
Cucumis melo, 103483915, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cucumis melo, 103501868, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103501870, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103501871, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491562, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103499987, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103499988, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
