Malus domestica, 103443513, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Malus domestica, 103421794, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Malus domestica, 103443512, polyketide synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Malus domestica, 114820492, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Malus domestica, 103448975, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Malus domestica, 103454421, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Malus domestica, 103432919, probable chalcone--flavonone isomerase 3 isoform X2  [EC], ['EC:5.5.1.6'], KO:K01859
Malus domestica, 103421113, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Malus domestica, 103430446, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Malus domestica, 103436139, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Malus domestica, 103400025, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Malus domestica, 103413102, FLS; flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Malus domestica, 103441195, flavonol synthase/flavanone 3-hydroxylase-like isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Malus domestica, 114821553, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Malus domestica, 114821784, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Malus domestica, 103418731, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103427139, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103447265, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103418775, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103455413, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Malus domestica, 103437875, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Malus domestica, 103450464, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Malus domestica, 103440468, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Malus domestica, 103437326, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Malus domestica, 103437327, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Malus domestica, 103434638, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Malus domestica, 114827797, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Malus domestica, 103402727, LAR1; leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Malus domestica, 103451680, LAR2; leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Malus domestica, 103409768, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Malus domestica, 103425310, uDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Malus domestica, 103402192, phloretin 2'-O-glucosyltransferase  [EC], ['EC:2.4.1.357'], KO:K22845
Malus domestica, 103420359, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Malus domestica, 103435659, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103405591, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103413727, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103411531, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103423814, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103423883, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103426747, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103445837, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103445775, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103443992, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103444038, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452082, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452083, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452118, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103414464, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103431869, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103403337, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103408600, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 114824582, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452080, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103402429, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103428961, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103441965, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103425389, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103400753, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103426660, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103430041, caffeoyl-CoA O-methyltransferase isoform X3  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103448267, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103452136, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103403364, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103407334, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103425533, flavonoid 3',5'-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
