Momordica charantia, 111009641, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Momordica charantia, 111015904, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Momordica charantia, 111006117, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Momordica charantia, 111014783, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Momordica charantia, 111023502, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Momordica charantia, 111024602, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Momordica charantia, 111011799, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Momordica charantia, 111018232, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111017984, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111018233, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111024917, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Momordica charantia, 111005025, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111007275, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111009425, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111014128, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023140, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023154, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023179, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111023192, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111014700, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111021609, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111017835, BAHD acyltransferase At5g47980-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111019771, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111017855, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111017856, BAHD acyltransferase At5g47980-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111008043, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111005882, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111017629, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111019721, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
