Aegilops tauschii, 109777317, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109752043, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109760444, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109764463, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109764464, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109767405, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109752036, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109750201, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109750202, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109750206, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109750207, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109758771, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109758772, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109758784, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109758790, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109736056, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109764465, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Aegilops tauschii, 109771714, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109754216, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109762639, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109770341, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109751434, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109777191, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109738097, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109754969, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109741493, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109754527, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109739271, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109784645, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109783113, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Aegilops tauschii, 109777355, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109777634, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109739393, hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109738327, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109762159, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109748755, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109744580, hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109759511, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
