Papaver somniferum, 113271507, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113271508, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113281217, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113345230, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113349173, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113360844, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113348195, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113279556, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113309592, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113345795, chalcone--flavonone isomerase 2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113323639, chalcone--flavonone isomerase 2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113321401, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113345156, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113283679, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113283681, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113283682, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113361812, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Papaver somniferum, 113290254, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Papaver somniferum, 113288864, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Papaver somniferum, 113346311, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Papaver somniferum, 113346474, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Papaver somniferum, 113346476, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Papaver somniferum, 113356202, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Papaver somniferum, 113356203, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Papaver somniferum, 113361278, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Papaver somniferum, 113322609, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Papaver somniferum, 113310740, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Papaver somniferum, 113323649, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Papaver somniferum, 113275817, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Papaver somniferum, 113314103, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Papaver somniferum, 113333459, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Papaver somniferum, 113345760, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Papaver somniferum, 113275014, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Papaver somniferum, 113304591, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Papaver somniferum, 113318553, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Papaver somniferum, 113348609, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Papaver somniferum, 113273916, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Papaver somniferum, 113277573, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Papaver somniferum, 113328656, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113328720, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113272562, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278599, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278601, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329080, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113335517, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113286848, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339257, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339443, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339791, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113290492, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329805, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329834, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329837, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113285437, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113285438, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113287013, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113295099, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113317937, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278961, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278963, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113291748, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113293955, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113323848, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343787, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343868, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343871, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343874, putrescine hydroxycinnamoyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343875, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343880, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343922, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113344094, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113282563, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113301872, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339843, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113274602, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280362, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113300250, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326230, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
