Helianthus annuus, 110868345, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110877696, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110898342, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110898343, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110898344, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110925465, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110904470, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110924687, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110924718, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110867747, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Helianthus annuus, 110873368, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Helianthus annuus, 110865806, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Helianthus annuus, 110941638, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110941651, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110941926, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110898705, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110905173, 4-coumarate--CoA ligase 2 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110930117, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110927031, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110927032, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110871623, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110894265, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110868910, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110880015, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110889159, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110881739, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110879885, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Helianthus annuus, 110880003, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110873433, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110892436, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110884775, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
