Lactuca sativa, 111893052, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Lactuca sativa, 111894107, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Lactuca sativa, 111915057, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Lactuca sativa, 111916376, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Lactuca sativa, 111916377, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Lactuca sativa, 111876528, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Lactuca sativa, 111886666, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Lactuca sativa, 111897824, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111892323, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111892869, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111893021, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111897689, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111897772, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111914848, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111877345, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111875845, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111887519, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Lactuca sativa, 111892226, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111914857, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111919896, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111878060, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111878160, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111881682, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111885009, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lactuca sativa, 111891710, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111919428, LOW QUALITY PROTEIN: cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111908828, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111877005, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Lactuca sativa, 111895259, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111910230, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111910234, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111910235, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111907199, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111908255, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111911235, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111909471, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lactuca sativa, 111895275, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111895278, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111877537, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111876730, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111876731, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111876734, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111877593, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111883858, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885272, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885273, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885277, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111885713, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111887149, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111887151, caffeoyl-CoA O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Lactuca sativa, 111892196, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Lactuca sativa, 111897913, aldehyde dehydrogenase 1  [EC], ['EC:1.2.1.68'], KO:K12355
Lactuca sativa, 111897919, aldehyde dehydrogenase 1  [EC], ['EC:1.2.1.68'], KO:K12355
Lactuca sativa, 111899225, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Lactuca sativa, 111904175, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Lactuca sativa, 111895133, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Lactuca sativa, 111897462, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Lactuca sativa, 111920419, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lactuca sativa, 111903002, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lactuca sativa, 111903004, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lactuca sativa, 111903396, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lactuca sativa, 111885575, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lactuca sativa, 111885585, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lactuca sativa, 111899992, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Lactuca sativa, 111907868, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Lactuca sativa, 111903864, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Lactuca sativa, 111917126, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Lactuca sativa, 111892473, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Lactuca sativa, 111899001, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Lactuca sativa, 111905434, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Lactuca sativa, 111905552, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Lactuca sativa, 111880404, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Lactuca sativa, 111898049, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111898050, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 122194372, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111898324, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111891035, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111891404, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111891445, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111894964, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111895587, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111892158, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111892418, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111892419, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111892420, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111892422, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896394, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896402, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896403, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896407, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896412, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896418, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896419, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896420, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111896422, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111893069, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111890731, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111890797, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111897614, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111899520, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111899521, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111899571, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111917490, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
