Quercus suber, 111992239, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 112000526, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 112012479, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 112012481, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 112027584, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 111996007, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 112025740, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus suber, 112015807, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Quercus suber, 112019464, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Quercus suber, 112035407, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Quercus suber, 112004171, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus suber, 112003934, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus suber, 112033039, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus suber, 112039883, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus suber, 112005113, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus suber, 112004043, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus suber, 111996133, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus suber, 112027554, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Quercus suber, 112039462, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Quercus suber, 111984642, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Quercus suber, 111984643, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Quercus suber, 112039568, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Quercus suber, 111992819, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Quercus suber, 111989281, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Quercus suber, 111989132, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Quercus suber, 112036510, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Quercus suber, 112024706, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Quercus suber, 112038347, anthocyanidin 5,3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.357'], KO:K22845
Quercus suber, 111988070, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Quercus suber, 112001084, UDP-glycosyltransferase 88F3-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Quercus suber, 112001087, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Quercus suber, 112033159, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112033417, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112034716, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112030427, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112024953, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112027202, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112027207, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112038476, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112032945, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112034195, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112034204, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035317, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035320, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035321, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035322, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035323, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035326, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035331, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112035332, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111995060, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111998890, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111998891, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112003335, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111990517, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112003563, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112015385, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112003707, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112015570, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111983985, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112008919, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112010639, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111990947, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112001123, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112003976, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112003994, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112011965, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112015231, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112004056, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112004177, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112017737, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112020154, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111994477, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 111992278, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112003589, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus suber, 112007479, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Quercus suber, 112007503, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Quercus suber, 111992262, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
