Vigna radiata, 106755252, phenylalanine ammonia-lyase class 1  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna radiata, 106772504, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna radiata, 106772062, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna radiata, 106778742, phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna radiata, 106764951, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna radiata, 106764845, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna radiata, 106775017, trans-cinnamate 4-monooxygenase isoform X1  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna radiata, 106771868, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna radiata, 106768751, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106777872, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106776996, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106778160, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106767325, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106759615, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106761921, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106777374, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106767575, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106779613, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106752772, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna radiata, 106753741, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106753774, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106753861, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
