Helianthus annuus, 110889408, 2-pyrone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110889411, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110889412, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110879458, chalcone synthase-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110895361, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110878832, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110908960, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110908971, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110916566, chalcone synthase 6-4-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110936358, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110937084, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110937085, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110913037, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Helianthus annuus, 110913039, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Helianthus annuus, 110872655, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Helianthus annuus, 110910959, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Helianthus annuus, 110915473, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Helianthus annuus, 110878613, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Helianthus annuus, 110878615, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Helianthus annuus, 110867747, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Helianthus annuus, 110873368, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Helianthus annuus, 110865806, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Helianthus annuus, 110873193, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Helianthus annuus, 110908322, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Helianthus annuus, 110873618, flavonoid 3'-monooxygenase-like isoform X1  [EC], ['EC:1.14.14.82'], KO:K05280
Helianthus annuus, 110908215, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Helianthus annuus, 110898892, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Helianthus annuus, 110935543, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Helianthus annuus, 110935544, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
