Amborella trichopoda, 18428598, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Amborella trichopoda, 18444038, chalcone synthase 1 isoform X2  [EC], ['EC:2.3.1.74'], KO:K00660
Amborella trichopoda, 105421766, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Amborella trichopoda, 18440411, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Amborella trichopoda, 18440412, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Amborella trichopoda, 18440481, chalcone--flavonone isomerase isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Amborella trichopoda, 18432300, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Amborella trichopoda, 18441761, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Amborella trichopoda, 18441765, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Amborella trichopoda, 18426066, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Amborella trichopoda, 18425268, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Amborella trichopoda, 18425281, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Amborella trichopoda, 18440762, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Amborella trichopoda, 18432337, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Amborella trichopoda, 18428045, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Amborella trichopoda, 18422618, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Amborella trichopoda, 18422620, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Amborella trichopoda, 18422615, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Amborella trichopoda, 18424242, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Amborella trichopoda, 18427888, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Amborella trichopoda, 18423736, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Amborella trichopoda, 18429888, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429918, BAHD acyltransferase At5g47980  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18442729, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18442780, agmatine coumaroyltransferase-1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18421837, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429415, agmatine coumaroyltransferase-1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429417, agmatine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429419, agmatine coumaroyltransferase-1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429420, agmatine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18434870, tryptamine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18434871, tryptamine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18427105, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Amborella trichopoda, 18441256, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Amborella trichopoda, 18446300, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443747, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443743, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443741, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443744, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
