Nicotiana tomentosiformis, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Nicotiana tomentosiformis, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, 
Nicotiana tomentosiformis, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana tomentosiformis, phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Nicotiana tomentosiformis, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Nicotiana tomentosiformis, cytochrome P450 CYP73A100-like, 
KO:K00487, EC:1.14.14.91, Nicotiana tomentosiformis, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Nicotiana tomentosiformis, 
4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Nicotiana tomentosiformis, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Nicotiana tomentosiformis, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Nicotiana tomentosiformis, 4-coumarate--CoA ligase 1, KO:K01904, 
EC:6.2.1.12, Nicotiana tomentosiformis, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Nicotiana tomentosiformis, 4-coumarate--CoA ligase-like 6 isoform X1, 
KO:K01904, EC:6.2.1.12, Nicotiana tomentosiformis, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Nicotiana tomentosiformis, 
4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Nicotiana tomentosiformis, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Nicotiana tomentosiformis, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Nicotiana tomentosiformis, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 
