Theobroma cacao, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Theobroma cacao, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Theobroma cacao, phenylalanine ammonia-lyase G4, KO:K10775, EC:4.3.1.24, Theobroma cacao, cytochrome P450 CYP73A100, KO:K00487, 
EC:1.14.14.91, Theobroma cacao, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Theobroma cacao, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Theobroma cacao, 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Theobroma cacao, 
4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Theobroma cacao, 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Theobroma cacao, 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, Theobroma cacao, 4-coumarate--CoA ligase-like 1, KO:K01904, 
EC:6.2.1.12, Theobroma cacao, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Theobroma cacao, 4-coumarate--CoA ligase-like 7, 
KO:K01904, EC:6.2.1.12, Theobroma cacao, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Theobroma cacao, 
shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Theobroma cacao, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Theobroma cacao, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Theobroma cacao, vinorine synthase, KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase, 
KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase, KO:K13065, EC:2.3.1.133, Theobroma cacao, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase, KO:K13065, EC:2.3.1.133, 
