Aegilops tauschii, LOC109777317, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109752043, phenylalanine ammonia-lyase-like, 
KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109760444, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Aegilops tauschii, LOC109764463, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109764464, 
phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109767405, phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Aegilops tauschii, LOC109752036, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, 
LOC109750201, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109750202, phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109750206, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Aegilops tauschii, LOC109750207, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109758771, 
phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109758772, phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Aegilops tauschii, LOC109758784, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, 
LOC109758790, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109736056, phenylalanine ammonia-lyase-like isoform X1, 
KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109764465, phenylalanine ammonia-lyase, KO:K13064, EC:4.3.1.25, 
Aegilops tauschii, LOC109771714, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109754216, 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109762639, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Aegilops tauschii, LOC109770341, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Aegilops tauschii, 
LOC109751434, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109777191, trans-cinnamate 4-monooxygenase-like, 
KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109738097, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Aegilops tauschii, LOC109754969, probable 4-coumarate--CoA ligase 5, KO:K01904, EC:6.2.1.12, Aegilops tauschii, LOC109741493, 
probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Aegilops tauschii, LOC109754527, 4-coumarate--CoA ligase-like 1, KO:K01904, 
EC:6.2.1.12, Aegilops tauschii, LOC109739271, probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, Aegilops tauschii, 
LOC109784645, 4-coumarate--CoA ligase-like 3, KO:K01904, EC:6.2.1.12, Aegilops tauschii, LOC109783113, probable 4-coumarate--CoA ligase 4, 
KO:K01904, EC:6.2.1.12, Aegilops tauschii, LOC109777355, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109777634, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109739393, 
hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109738327, tryptamine benzoyltransferase 1-like, KO:K13065, 
