Arabidopsis lyrata, 9317554, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis lyrata, 9309209, phenylalanine ammonia-lyase 3  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis lyrata, 9312266, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis lyrata, 9318728, phenylalanine ammonia-lyase 4 isoform X2  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis lyrata, 9317181, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arabidopsis lyrata, 9306078, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9327714, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9319361, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9308807, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9321496, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9322511, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9324368, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9302623, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis lyrata, 9300608, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis lyrata, 9322309, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis lyrata, 9327949, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis lyrata, 9315964, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Arabidopsis lyrata, 9316384, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9317721, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9314550, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9309827, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9330463, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9325206, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9314092, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis lyrata, 9305249, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9324710, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9326760, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9305692, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9324709, tapetum-specific methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 110224260, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Arabidopsis lyrata, 9326201, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Arabidopsis lyrata, 9319591, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arabidopsis lyrata, 9304951, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arabidopsis lyrata, 9303101, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arabidopsis lyrata, 9307157, cytochrome P450 84A4  [EC], ['EC:1.14.-.-'], KO:K09755
Arabidopsis lyrata, 9303555, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arabidopsis lyrata, 9303558, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arabidopsis lyrata, 9302099, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arabidopsis lyrata, 9302094, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arabidopsis lyrata, 9305026, cinnamyl alcohol dehydrogenase 7  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9305024, cinnamyl alcohol dehydrogenase 8  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9302914, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9305236, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9316464, cinnamyl alcohol dehydrogenase 3 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9319250, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9324951, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9305027, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Arabidopsis lyrata, 9326958, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
