Nicotiana attenuata, 109224243, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana attenuata, 109227353, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana attenuata, 109212385, chalcone synthase A  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana attenuata, 109215849, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana attenuata, 109207770, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana attenuata, 109235542, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana attenuata, 109238661, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana attenuata, 109242464, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Nicotiana attenuata, 109237082, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Nicotiana attenuata, 109229405, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana attenuata, 109225492, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana attenuata, 109215399, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana attenuata, 109223789, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Nicotiana attenuata, 109208181, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nicotiana attenuata, 109232046, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nicotiana attenuata, 109209238, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Nicotiana attenuata, 109212376, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Nicotiana attenuata, 109243327, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Nicotiana attenuata, 109235276, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nicotiana attenuata, 109236083, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109237576, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109205681, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109235639, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109237700, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109235919, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109241609, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109209235, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109234193, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109210489, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109212708, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109220540, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109226461, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109229836, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109231066, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109206370, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109206371, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109207449, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109209745, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109225602, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109221014, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana attenuata, 109228215, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana attenuata, 109239726, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana attenuata, 109239730, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana attenuata, 109230380, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana attenuata, 109232738, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana attenuata, 109244656, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana attenuata, 109230873, caffeoyl-CoA O-methyltransferase 3  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana attenuata, 109215873, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana attenuata, 109236417, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana attenuata, 109213146, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
