Jatropha curcas, 105630228, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Jatropha curcas, 105639050, LOW QUALITY PROTEIN: chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Jatropha curcas, 105634821, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Jatropha curcas, 105649235, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Jatropha curcas, 105629005, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Jatropha curcas, 105639310, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Jatropha curcas, 105638891, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Jatropha curcas, 105643707, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Jatropha curcas, 105644702, non-functional NADPH-dependent codeinone reductase 2 , [], KO:K08243
Jatropha curcas, 105640611, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Jatropha curcas, 105633822, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Jatropha curcas, 105633823, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Jatropha curcas, 105633824, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Jatropha curcas, 110008657, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Jatropha curcas, 105628967, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Jatropha curcas, 105645898, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Jatropha curcas, 105649408, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Jatropha curcas, 105641976, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Jatropha curcas, 105636738, UDP-glycosyltransferase 88F3  [EC], ['EC:2.4.1.357'], KO:K22845
Jatropha curcas, 105636739, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Jatropha curcas, 105643989, UDP-glycosyltransferase 88F3  [EC], ['EC:2.4.1.357'], KO:K22845
Jatropha curcas, 105630295, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105627975, LOW QUALITY PROTEIN: agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105631637, BAHD acyltransferase At5g47980  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105633528, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105633533, hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105641109, LOW QUALITY PROTEIN: stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105640237, stemmadenine O-acetyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105641133, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105644920, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105644994, stemmadenine O-acetyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105633532, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105636120, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Jatropha curcas, 105634142, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634145, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105639727, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105646284, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105637791, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634146, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634141, caffeoyl-CoA O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634143, LOW QUALITY PROTEIN: caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634147, LOW QUALITY PROTEIN: caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105639981, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
