Nicotiana tomentosiformis, 104111718, chalcone synthase 1B  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tomentosiformis, 104102692, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tomentosiformis, 104102693, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tomentosiformis, 104109127, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tomentosiformis, 104117823, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana tomentosiformis, 104084789, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana tomentosiformis, 104098512, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Nicotiana tomentosiformis, 104101386, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Nicotiana tomentosiformis, 104101351, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tomentosiformis, 104110622, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tomentosiformis, 104097044, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tomentosiformis, 104093246, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Nicotiana tomentosiformis, 104112288, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nicotiana tomentosiformis, 104111783, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Nicotiana tomentosiformis, 104098957, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Nicotiana tomentosiformis, 104120432, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Nicotiana tomentosiformis, 104107265, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Nicotiana tomentosiformis, 104104751, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104108383, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104118713, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104101077, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104107206, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104118516, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104101120, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104117432, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104118720, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104097590, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104108722, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104108723, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104112495, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104098930, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104106456, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104120177, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104110116, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104106633, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104104372, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104115385, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104116773, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104121327, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104088297, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104092594, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104119156, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104112912, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104113520, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104098960, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104098961, caffeoyl-CoA O-methyltransferase 3  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104094412, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104095631, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104099503, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
