Dendrobium catenatum, 110113809, chalcone synthase 8  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110105072, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110105073, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110115249, bibenzyl synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110115253, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110107833, chalcone synthase 8  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110105791, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110093469, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Dendrobium catenatum, 110101536, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Dendrobium catenatum, 110108986, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Dendrobium catenatum, 110099164, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Dendrobium catenatum, 110097388, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Dendrobium catenatum, 110106800, LOW QUALITY PROTEIN: naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Dendrobium catenatum, 110101902, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Dendrobium catenatum, 110113575, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Dendrobium catenatum, 110095936, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Dendrobium catenatum, 110113263, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Dendrobium catenatum, 110113268, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Dendrobium catenatum, 110115941, flavonoid 3'-monooxygenase isoform X2  [EC], ['EC:1.14.14.82'], KO:K05280
Dendrobium catenatum, 110096779, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Dendrobium catenatum, 110096781, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Dendrobium catenatum, 110101655, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Dendrobium catenatum, 110103762, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Dendrobium catenatum, 110103723, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Dendrobium catenatum, 110114390, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110093394, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110093422, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110093424, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110107310, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110113109, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110113968, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110092996, tryptamine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110101632, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Dendrobium catenatum, 110113335, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110114871, norbelladine 4'-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092466, norbelladine 4'-O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092467, norbelladine 4'-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092517, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110105160, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092470, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
