Elaeis guineensis, 105034198, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105034617, chalcone synthase 3-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105034618, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105035716, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105036921, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105036364, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105036416, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105041005, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105041539, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105060373, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105050962, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105044627, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105035984, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Elaeis guineensis, 105052295, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Elaeis guineensis, 105045978, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Elaeis guineensis, 105054663, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Elaeis guineensis, 105059410, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Elaeis guineensis, 105058232, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Elaeis guineensis, 105045995, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105044830, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105052309, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105057212, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105050451, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105049276, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105055971, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Elaeis guineensis, 105058071, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
