Vigna angularis, 108324188, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108324227, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108337955, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108326061, phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108324009, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108322393, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108322394, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108338193, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna angularis, 108341749, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna angularis, 108325108, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna angularis, 108340004, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108333968, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108322006, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108333016, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108341430, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108320913, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108322133, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108322156, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108322188, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108335989, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Vigna angularis, 108344458, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
