Rosa chinensis, 112191949, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Rosa chinensis, 112179338, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Rosa chinensis, 112182368, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Rosa chinensis, 112164584, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Rosa chinensis, 112197469, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Rosa chinensis, 112164785, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112185523, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112199572, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112190236, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112197500, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112165545, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112165546, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112176467, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112179583, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Rosa chinensis, 112176186, vinorine synthase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112166338, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112178177, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112178180, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112177725, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112169753, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112165685, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112167004, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112164644, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112181708, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112182037, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112183662, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
