Glycine max, 606705, IFS2; 2-hydroxyisoflavanone synthase precursor  [EC], ['EC:1.14.14.87'], KO:K13257
Glycine max, 100037450, IFS1; isoflavone synthase 1 precursor  [EC], ['EC:1.14.14.87'], KO:K13257
Glycine max, 547489, HIDH; 2-hydroxyisoflavanone dehydratase  [EC], ['EC:4.2.1.105'], KO:K13258
Glycine max, 100785409, 2-hydroxyisoflavanone dehydratase  [EC], ['EC:4.2.1.105'], KO:K13258
Glycine max, 100807589, IOMT1; isoflavone 4'-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Glycine max, 106795493, IOMT2; isoflavone 4'-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Glycine max, 100784120, isoflavone 3'-hydroxylase  [EC], ['EC:1.14.14.88'], KO:K22932
Glycine max, 100784650, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100811727, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100790507, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100804509, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100798269, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100797371, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100812102, I2'H; isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100807819, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Glycine max, 100801092, CYP81E11; isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
