Ipomoea nil, 109161594, CHS-E; chalcone synthase E  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea nil, 109189176, CHSB; chalcone synthase B  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea nil, 109189177, CHSA; chalcone synthase A  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea nil, 109189178, chalcone synthase A-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea nil, 109176547, CHS-D; chalcone synthase D  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea nil, 109193965, EFP; probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Ipomoea nil, 109186979, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Ipomoea nil, 109177773, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Ipomoea nil, 109167724, F3H; naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Ipomoea nil, 109167725, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Ipomoea nil, 109175998, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Ipomoea nil, 109146796, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea nil, 109156362, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea nil, 109162834, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea nil, 109160581, Magenta; flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Ipomoea nil, 109177611, DFR-A; dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ipomoea nil, 109177619, DFR-B; dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ipomoea nil, 109177620, DFR-C; dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ipomoea nil, 109168138, ANS; leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Ipomoea nil, 109158393, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109192264, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178924, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178957, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109166319, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178351, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178366, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175104, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175106, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175108, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175109, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109157296, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109156083, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182989, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182990, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182991, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182992, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152224, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152226, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109162686, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109176727, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109176730, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109176761, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109187420, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152318, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152319, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152320, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155017, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
