Musa acuminata, 103968786, phenylpropanoylacetyl-CoA synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103968787, curcumin synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103968788, curcumin synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103968789, curcumin synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103968790, curcumin synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 104000649, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103987271, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103987272, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 104000773, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103986053, curcumin synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103987502, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103987972, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103987346, curcumin synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103972472, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 108952404, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103977235, phenylpropanoylacetyl-CoA synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Musa acuminata, 103981836, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Musa acuminata, 103972228, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Musa acuminata, 103992006, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Musa acuminata, 103970367, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Musa acuminata, 103969181, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Musa acuminata, 103969182, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Musa acuminata, 103977541, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Musa acuminata, 103995223, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Musa acuminata, 103997903, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103977324, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103987315, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 104000967, trans-cinnamate 4-monooxygenase-like isoform X1  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103996969, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
